06:00  -  06:14,44,,49,,93,
06:15  -  06:29,82,,117,,199,
06:30  -  06:44,59,,267,,326,
06:45  -  06:59,50,,123,,173,
07:00  -  07:14,84,,178,,262,
07:15  -  07:29,87,,187,,274,
07:30  -  07:44,128,,245,,373,
07:45  -  07:59,131,,298,,429,
08:00  -  08:14,222,,333,,555,
08:15  -  08:29,241,1628,409,3160,650,4788
08:30  -  08:44,260,,525,,785,
08:45  -  08:59,240,,429,,669,
09:00  -  09:14,127,,411,,538,
09:15  -  09:29,143,2932,257,4395,400,7327
09:30  -  09:44,130,,253,,383,
09:45  -  09:59,130,,223,,353,
10:00  -  10:29,186,,362,,548,
10:30  -  10:59,228,,309,,537,
11:00  -  11:29,272,,289,,561,
11:30  -  11:59,254,,365,,619,
12:00  -  12:29,269,,353,,622,
12:30  -  12:59,252,,362,,614,
13:00  -  13:29,232,,312,,544,
13:30  -  13:59,209,,301,,510,
14:00  -  14:29,242,,184,,426,
14:30  -  14:59,258,,414,,672,
15:00  -  15:14,210,,296,,506,
15:15  -  15:29,362,,280,,642,
15:30  -  15:44,359,,330,,689,
15:45  -  15:59,323,,302,,625,
16:00  -  16:14,350,,346,,696,
16:15  -  16:29,341,,277,,618,
16:30  -  16:44,319,,311,,630,
16:45  -  16:59,365,,301,,666,
17:00  -  17:14,348,,264,,612,
17:15  -  17:29,384,,368,,752,
17:30  -  17:44,379,,444,,823,
17:45  -  17:59,308,,501,,809,
18:00  -  18:14,216,,532,,748,
18:15  -  18:29,168,4756,357,5459,525,10215
18:30  -  18:44,177,,306,,483,
18:45  -  18:59,147,,244,,391,
19:00  -  19:29,260,1359,381,1656,641,3015
19:30  -  19:59,228,,280,,508,
20:00  -  20:29,215,,253,,468,
20:30  -  20:59,240,,261,,501,
21:00  -  21:29,219,,248,,467,
21:30  -  21:59,197,,233,,430,
22:00  -  22:29,186,870,158,688,344,1558
22:30  -  22:59,177,,160,,337,
23:00  -  23:29,165,,111,,276,
23:30  -  23:59,145,,101,,246,
24:00  -  24:29,118,,92,,210,
24:30  -  24:59,51,,44,,95,
25:00  -  25:29,28,,22,,50,
