06:00  -  06:14,30,,9,,39,
06:15  -  06:29,28,,14,,42,
06:30  -  06:44,43,,23,,66,
06:45  -  06:59,54,,18,,72,
07:00  -  07:14,113,,30,,143,
07:15  -  07:29,111,,27,,138,
07:30  -  07:44,138,,38,,176,
07:45  -  07:59,153,,44,,197,
08:00  -  08:14,200,,59,,259,
08:15  -  08:29,171,,36,,207,
08:30  -  08:44,162,,58,,220,
08:45  -  08:59,148,"1,351",61,417,209,"1,768"
09:00  -  09:14,106,"1,264",45,959,151,"2,223"
09:15  -  09:29,104,,58,,162,
09:30  -  09:44,72,,43,,115,
09:45  -  09:59,43,,39,,82,
10:00  -  10:29,86,,52,,138,
10:30  -  10:59,83,,61,,144,
11:00  -  11:29,100,,63,,163,
11:30  -  11:59,100,,72,,172,
12:00  -  12:29,113,,52,,165,
12:30  -  12:59,87,,72,,159,
13:00  -  13:29,82,,89,,171,
13:30  -  13:59,83,,112,,195,
14:00  -  14:29,95,,104,,199,
14:30  -  14:59,110,,97,,207,
15:00  -  15:14,50,,49,,99,
15:15  -  15:29,54,,56,,110,
15:30  -  15:44,89,,73,,162,
15:45  -  15:59,59,,114,,173,
16:00  -  16:14,49,,97,,146,
16:15  -  16:29,57,,66,,123,
16:30  -  16:44,94,,130,,224,
16:45  -  16:59,64,,128,,192,
17:00  -  17:14,104,,109,,213,
17:15  -  17:29,71,,177,,248,
17:30  -  17:44,71,,149,,220,
17:45  -  17:59,44,,178,,222,
18:00  -  18:14,67,,154,,221,
18:15  -  18:29,74,"1,046",161,"1,941",235,"2,987"
18:30  -  18:44,60,,146,,206,
18:45  -  18:59,39,,154,,193,
19:00  -  19:29,73,368,203,794,276,"1,162"
19:30  -  19:59,65,,157,,222,
20:00  -  20:29,75,,142,,217,
20:30  -  20:59,60,,104,,164,
21:00  -  21:29,52,,98,,150,
21:30  -  21:59,43,,90,,133,
22:00  -  22:29,39,120,94,271,133,391
22:30  -  22:59,28,,50,,78,
23:00  -  23:29,16,,42,,58,
23:30  -  23:59,14,,41,,55,
24:00  -  24:29,13,,24,,37,
24:30  -  24:59,9,,11,,20,
25:00  -  25:29,1,,9,,10,
,,,,,,
