06:00  -  06:14,8,,3,,11,
06:15  -  06:29,19,,4,,23,
06:30  -  06:44,14,,7,,21,
06:45  -  06:59,30,,9,,39,
07:00  -  07:14,25,,6,,31,
07:15  -  07:29,44,,12,,56,
07:30  -  07:44,54,,10,,64,
07:45  -  07:59,73,,20,,93,
08:00  -  08:14,82,,11,,93,
08:15  -  08:29,99,,10,,109,
08:30  -  08:44,74,,18,,92,
08:45  -  08:59,52,574,26,136,78,710
09:00  -  09:14,37,555,17,372,54,927
09:15  -  09:29,31,,15,,46,
09:30  -  09:44,24,,12,,36,
09:45  -  09:59,24,,7,,31,
10:00  -  10:29,45,,38,,83,
10:30  -  10:59,41,,35,,76,
11:00  -  11:29,42,,24,,66,
11:30  -  11:59,44,,30,,74,
12:00  -  12:29,47,,33,,80,
12:30  -  12:59,45,,26,,71,
13:00  -  13:29,31,,28,,59,
13:30  -  13:59,34,,35,,69,
14:00  -  14:29,48,,36,,84,
14:30  -  14:59,62,,36,,98,
15:00  -  15:14,20,,21,,41,
15:15  -  15:29,21,,28,,49,
15:30  -  15:44,19,,20,,39,
15:45  -  15:59,22,,31,,53,
16:00  -  16:14,20,,34,,54,
16:15  -  16:29,17,,30,,47,
16:30  -  16:44,13,,45,,58,
16:45  -  16:59,19,,49,,68,
17:00  -  17:14,32,,47,,79,
17:15  -  17:29,21,,42,,63,
17:30  -  17:44,24,,51,,75,
17:45  -  17:59,16,303,36,587,52,890
18:00  -  18:14,10,,32,,42,
18:15  -  18:29,22,,40,,62,
18:30  -  18:44,15,,39,,54,
18:45  -  18:59,12,,42,,54,
19:00  -  19:29,8,57,74,268,82,325
19:30  -  19:59,6,,52,,58,
20:00  -  20:29,19,,40,,59,
20:30  -  20:59,9,,37,,46,
21:00  -  21:29,8,,34,,42,
21:30  -  21:59,7,,31,,38,
22:00  -  22:29,7,23,27,113,34,136
22:30  -  22:59,6,,24,,30,
23:00  -  23:29,4,,20,,24,
23:30  -  23:59,3,,17,,20,
24:00  -  24:29,1,,9,,10,
24:30  -  24:59,2,,9,,11,
25:00  -  25:29,0,,7,,7,
,,,,,,
