06:00  -  06:14,92,,47,,139,
06:15  -  06:29,137,,76,,213,
06:30  -  06:44,156,,88,,244,
06:45  -  06:59,180,,90,,270,
07:00  -  07:14,246,,114,,360,
07:15  -  07:29,295,,120,,415,
07:30  -  07:44,351,,186,,537,
07:45  -  07:59,415,,258,,673,
08:00  -  08:14,446,,363,,809,
08:15  -  08:29,559,3917,511,2575,1070,6492
08:30  -  08:44,564,,418,,982,
08:45  -  08:59,476,,304,,780,
09:00  -  09:14,530,,283,,813,
09:15  -  09:29,394,5604,244,4800,638,10404
09:30  -  09:44,203,,211,,414,
09:45  -  09:59,180,,178,,358,
10:00  -  10:29,393,,411,,804,
10:30  -  10:59,386,,394,,780,
11:00  -  11:29,329,,320,,649,
11:30  -  11:59,462,,334,,796,
12:00  -  12:29,478,,363,,841,
12:30  -  12:59,469,,378,,847,
13:00  -  13:29,442,,399,,841,
13:30  -  13:59,459,,339,,798,
14:00  -  14:29,427,,455,,882,
14:30  -  14:59,452,,491,,943,
15:00  -  15:14,485,,330,,815,
15:15  -  15:29,410,,327,,737,
15:30  -  15:44,359,,377,,736,
15:45  -  15:59,316,,412,,728,
16:00  -  16:14,272,,380,,652,
16:15  -  16:29,276,,380,,656,
16:30  -  16:44,282,,429,,711,
16:45  -  16:59,310,,429,,739,
17:00  -  17:14,266,,363,,629,
17:15  -  17:29,309,,549,,858,
17:30  -  17:44,363,,547,,910,
17:45  -  17:59,267,,452,,719,
18:00  -  18:14,318,,419,,737,
18:15  -  18:29,252,4953,403,6518,655,11471
18:30  -  18:44,251,,384,,635,
18:45  -  18:59,217,,337,,554,
19:00  -  19:29,287,1440,454,2220,741,3660
19:30  -  19:59,268,,423,,691,
20:00  -  20:29,258,,385,,643,
20:30  -  20:59,239,,348,,587,
21:00  -  21:29,217,,335,,552,
21:30  -  21:59,171,,275,,446,
22:00  -  22:29,149,904,227,1166,376,2070
22:30  -  22:59,360,,225,,585,
23:00  -  23:29,113,,184,,297,
23:30  -  23:59,87,,165,,252,
24:00  -  24:29,76,,148,,224,
24:30  -  24:59,66,,122,,188,
25:00  -  25:29,53,,95,,148,
,,,,,,
