06:00  -  06:14,41,,57,,98,
06:15  -  06:29,51,,47,,98,
06:30  -  06:44,37,,51,,88,
06:45  -  06:59,53,,37,,90,
07:00  -  07:14,70,,44,,114,
07:15  -  07:29,72,,80,,152,
07:30  -  07:44,80,,87,,167,
07:45  -  07:59,76,,103,,179,
08:00  -  08:14,76,,103,,179,
08:15  -  08:29,74,,137,,211,
08:30  -  08:44,92,803,361,1282,453,2085
08:45  -  08:59,81,,175,,256,
09:00  -  09:14,109,,233,,342,
09:15  -  09:29,57,,140,,197,
09:30  -  09:44,65,1079,67,1281,132,2360
09:45  -  09:59,47,,78,,125,
10:00  -  10:29,67,,98,,165,
10:30  -  10:59,79,,62,,141,
11:00  -  11:29,56,,35,,91,
11:30  -  11:59,74,,68,,142,
12:00  -  12:29,67,,82,,149,
12:30  -  12:59,58,,70,,128,
13:00  -  13:29,47,,64,,111,
13:30  -  13:59,78,,99,,177,
14:00  -  14:29,141,,103,,244,
14:30  -  14:59,134,,82,,216,
15:00  -  15:14,45,,106,,151,
15:15  -  15:29,217,,92,,309,
15:30  -  15:44,306,,141,,447,
15:45  -  15:59,128,,94,,222,
16:00  -  16:14,88,,95,,183,
16:15  -  16:29,93,1689,77,1297,170,2986
16:30  -  16:44,105,,69,,174,
16:45  -  16:59,109,,67,,176,
17:00  -  17:14,101,,84,,185,
17:15  -  17:29,111,,84,,195,
17:30  -  17:44,92,,74,,166,
17:45  -  17:59,79,,49,,128,
18:00  -  18:14,80,,82,,162,
18:15  -  18:29,62,,86,,148,
18:30  -  18:44,38,,47,,85,
18:45  -  18:59,35,,50,,85,
19:00  -  19:29,80,368,112,540,192,908
19:30  -  19:59,68,,101,,169,
20:00  -  20:29,62,,88,,150,
20:30  -  20:59,53,,75,,128,
21:00  -  21:29,53,,81,,134,
21:30  -  21:59,52,,83,,135,
22:00  -  22:29,41,254,68,297,109,551
22:30  -  22:59,46,,48,,94,
23:00  -  23:29,41,,53,,94,
23:30  -  23:59,39,,40,,79,
24:00  -  24:29,34,,37,,71,
24:30  -  24:59,27,,28,,55,
25:00  -  25:29,26,,23,,49,
,,,,,,
