06:00  -  06:14,9,,4,,13,
06:15  -  06:29,7,,3,,10,
06:30  -  06:44,15,,8,,23,
06:45  -  06:59,22,,9,,31,
07:00  -  07:14,32,,12,,44,
07:15  -  07:29,25,,12,,37,
07:30  -  07:44,47,,11,,58,
07:45  -  07:59,53,,15,,68,
08:00  -  08:14,93,602,14,201,107,803
08:15  -  08:29,94,,18,,112,
08:30  -  08:44,90,,42,,132,
08:45  -  08:59,115,,53,,168,
09:00  -  09:14,74,860,30,668,104,1528
09:15  -  09:29,67,,22,,89,
09:30  -  09:44,41,,16,,57,
09:45  -  09:59,32,,24,,56,
10:00  -  10:29,42,,21,,63,
10:30  -  10:59,47,,23,,70,
11:00  -  11:29,62,,40,,102,
11:30  -  11:59,61,,48,,109,
12:00  -  12:29,77,,64,,141,
12:30  -  12:59,67,,61,,128,
13:00  -  13:29,57,,50,,107,
13:30  -  13:59,70,,101,,171,
14:00  -  14:29,81,,69,,150,
14:30  -  14:59,82,,99,,181,
15:00  -  15:14,49,,60,,109,
15:15  -  15:29,46,,61,,107,
15:30  -  15:44,59,,82,,141,
15:45  -  15:59,51,,62,,113,
16:00  -  16:14,67,,132,,199,
16:15  -  16:29,46,,82,,128,
16:30  -  16:44,44,,92,,136,
16:45  -  16:59,48,,109,,157,
17:00  -  17:14,78,,121,,199,
17:15  -  17:29,56,,122,,178,
17:30  -  17:44,55,,112,,167,
17:45  -  17:59,57,,141,,198,
18:00  -  18:14,47,830,106,1594,153,2424
18:15  -  18:29,40,,128,,168,
18:30  -  18:44,48,,106,,154,
18:45  -  18:59,39,,78,,117,
19:00  -  19:29,69,296,152,480,221,776
19:30  -  19:59,58,,101,,159,
20:00  -  20:29,50,,78,,128,
20:30  -  20:59,43,,59,,102,
21:00  -  21:29,40,,50,,90,
21:30  -  21:59,36,,40,,76,
22:00  -  22:29,32,138,37,135,69,273
22:30  -  22:59,26,,31,,57,
23:00  -  23:29,24,,22,,46,
23:30  -  23:59,21,,14,,35,
24:00  -  24:29,16,,12,,28,
24:30  -  24:59,10,,11,,21,
25:00  -  25:29,9,,8,,17,
,,,,,,
