06:00  -  06:14,24,,23,,47,
06:15  -  06:29,35,,34,,69,
06:30  -  06:44,35,,29,,64,
06:45  -  06:59,37,,27,,64,
07:00  -  07:14,65,,25,,90,
07:15  -  07:29,74,,34,,108,
07:30  -  07:44,105,,59,,164,
07:45  -  07:59,130,,52,,182,
08:00  -  08:14,225,1290,116,982,341,2272
08:15  -  08:29,181,,194,,375,
08:30  -  08:44,193,,208,,401,
08:45  -  08:59,186,,181,,367,
09:00  -  09:14,148,2085,192,2189,340,4274
09:15  -  09:29,140,,156,,296,
09:30  -  09:44,113,,124,,237,
09:45  -  09:59,84,,109,,193,
10:00  -  10:29,142,,131,,273,
10:30  -  10:59,130,,157,,287,
11:00  -  11:29,141,,144,,285,
11:30  -  11:59,187,,145,,332,
12:00  -  12:29,156,,135,,291,
12:30  -  12:59,156,,141,,297,
13:00  -  13:29,139,,133,,272,
13:30  -  13:59,141,,138,,279,
14:00  -  14:29,180,,144,,324,
14:30  -  14:59,228,,340,,568,
15:00  -  15:14,150,,135,,285,
15:15  -  15:29,186,,121,,307,
15:30  -  15:44,171,,95,,266,
15:45  -  15:59,183,,116,,299,
16:00  -  16:14,139,1978,132,2147,271,4125
16:15  -  16:29,129,,141,,270,
16:30  -  16:44,130,,142,,272,
16:45  -  16:59,97,,186,,283,
17:00  -  17:14,98,,130,,228,
17:15  -  17:29,113,,133,,246,
17:30  -  17:44,96,,183,,279,
17:45  -  17:59,96,,150,,246,
18:00  -  18:14,111,,116,,227,
18:15  -  18:29,116,,119,,235,
18:30  -  18:44,80,,109,,189,
18:45  -  18:59,83,,139,,222,
19:00  -  19:29,148,699,248,848,396,1547
19:30  -  19:59,137,,157,,294,
20:00  -  20:29,139,,122,,261,
20:30  -  20:59,115,,114,,229,
21:00  -  21:29,92,,107,,199,
21:30  -  21:59,68,,100,,168,
22:00  -  22:29,46,158,44,135,90,293
22:30  -  22:59,35,,34,,69,
23:00  -  23:29,27,,21,,48,
23:30  -  23:59,20,,18,,38,
24:00  -  24:29,18,,12,,30,
24:30  -  24:59,8,,5,,13,
25:00  -  25:29,4,,1,,5,
,,,,,,
