06:00  -  06:14,73,,123,,196,
06:15  -  06:29,109,,235,,344,
06:30  -  06:44,117,,176,,293,
06:45  -  06:59,137,,229,,366,
07:00  -  07:14,160,,369,,529,
07:15  -  07:29,156,,410,,566,
07:30  -  07:44,229,,702,,931,
07:45  -  07:59,194,,805,,999,
08:00  -  08:14,270,,901,,1171,
08:15  -  08:29,206,2085,831,6619,1037,8704
08:30  -  08:44,205,,887,,1092,
08:45  -  08:59,229,,951,,1180,
09:00  -  09:14,78,,943,,1021,
09:15  -  09:29,176,4611,759,9136,935,13747
09:30  -  09:44,166,,916,,1082,
09:45  -  09:59,182,,680,,862,
10:00  -  10:29,262,,763,,1025,
10:30  -  10:59,299,,680,,979,
11:00  -  11:29,308,,471,,779,
11:30  -  11:59,409,,588,,997,
12:00  -  12:29,369,,465,,834,
12:30  -  12:59,425,,682,,1107,
13:00  -  13:29,346,,439,,785,
13:30  -  13:59,495,,589,,1084,
14:00  -  14:29,505,,353,,858,
14:30  -  14:59,591,,808,,1399,
15:00  -  15:14,466,,360,,826,
15:15  -  15:29,396,,370,,766,
15:30  -  15:44,396,,385,,781,
15:45  -  15:59,495,,397,,892,
16:00  -  16:14,639,,402,,1041,
16:15  -  16:29,547,,431,,978,
16:30  -  16:44,729,,502,,1231,
16:45  -  16:59,612,,360,,972,
17:00  -  17:14,562,,439,,1001,
17:15  -  17:29,632,,458,,1090,
17:30  -  17:44,607,8232,573,6620,1180,14852
17:45  -  17:59,496,,616,,1112,
18:00  -  18:14,492,,472,,964,
18:15  -  18:29,464,,409,,873,
18:30  -  18:44,389,,186,,575,
18:45  -  18:59,310,,260,,570,
19:00  -  19:29,571,2790,463,1997,1034,4787
19:30  -  19:59,525,,368,,893,
20:00  -  20:29,468,,322,,790,
20:30  -  20:59,434,,301,,735,
21:00  -  21:29,409,,282,,691,
21:30  -  21:59,383,,261,,644,
22:00  -  22:29,321,1403,213,880,534,2283
22:30  -  22:59,282,,179,,461,
23:00  -  23:29,232,,155,,387,
23:30  -  23:59,185,,118,,303,
24:00  -  24:29,151,,92,,243,
24:30  -  24:59,131,,74,,205,
25:00  -  25:29,101,,49,,150,
,,,,,,
