06:00  -  06:14,24,,26,,50,
06:15  -  06:29,30,,31,,61,
06:30  -  06:44,67,,47,,114,
06:45  -  06:59,80,,59,,139,
07:00  -  07:14,112,,91,,203,
07:15  -  07:29,157,,90,,247,
07:30  -  07:44,178,,102,,280,
07:45  -  07:59,210,,115,,325,
08:00  -  08:14,268,1996,131,1243,399,3239
08:15  -  08:29,349,,152,,501,
08:30  -  08:44,285,,221,,506,
08:45  -  08:59,236,,178,,414,
09:00  -  09:14,215,2522,133,2324,348,4846
09:15  -  09:29,141,,137,,278,
09:30  -  09:44,156,,207,,363,
09:45  -  09:59,189,,239,,428,
10:00  -  10:29,188,,184,,372,
10:30  -  10:59,175,,156,,331,
11:00  -  11:29,162,,127,,289,
11:30  -  11:59,171,,136,,307,
12:00  -  12:29,147,,177,,324,
12:30  -  12:59,173,,160,,333,
13:00  -  13:29,211,,130,,341,
13:30  -  13:59,202,,183,,385,
14:00  -  14:29,187,,156,,343,
14:30  -  14:59,205,,199,,404,
15:00  -  15:14,116,,144,,260,
15:15  -  15:29,153,,119,,272,
15:30  -  15:44,316,,200,,516,
15:45  -  15:59,126,,193,,319,
16:00  -  16:14,170,,137,,307,
16:15  -  16:29,99,,136,,235,
16:30  -  16:44,149,,161,,310,
16:45  -  16:59,156,,132,,288,
17:00  -  17:14,110,,241,,351,
17:15  -  17:29,167,,242,,409,
17:30  -  17:44,142,,250,,392,
17:45  -  17:59,123,,255,,378,
18:00  -  18:14,112,2178,204,2911,316,5089
18:15  -  18:29,88,,174,,262,
18:30  -  18:44,89,,163,,252,
18:45  -  18:59,62,,160,,222,
19:00  -  19:29,73,433,246,1117,319,1550
19:30  -  19:59,68,,203,,271,
20:00  -  20:29,62,,167,,229,
20:30  -  20:59,70,,179,,249,
21:00  -  21:29,78,,168,,246,
21:30  -  21:59,82,,154,,236,
22:00  -  22:29,60,235,122,525,182,760
22:30  -  22:59,56,,128,,184,
23:00  -  23:29,45,,109,,154,
23:30  -  23:59,32,,79,,111,
24:00  -  24:29,22,,51,,73,
24:30  -  24:59,13,,23,,36,
25:00  -  25:29,7,,13,,20,
,,,,,,
