06:00  -  06:14,107,,21,,128,
06:15  -  06:29,54,,59,,113,
06:30  -  06:44,82,,75,,157,
06:45  -  06:59,95,,87,,182,
07:00  -  07:14,112,,95,,207,
07:15  -  07:29,197,,131,,328,
07:30  -  07:44,316,,247,,563,
07:45  -  07:59,396,,267,,663,
08:00  -  08:14,432,3326,444,2656,876,5982
08:15  -  08:29,576,,471,,1047,
08:30  -  08:44,546,,387,,933,
08:45  -  08:59,413,,372,,785,
09:00  -  09:14,289,3555,302,3765,591,7320
09:15  -  09:29,240,,261,,501,
09:30  -  09:44,218,,259,,477,
09:45  -  09:59,178,,180,,358,
10:00  -  10:29,260,,291,,551,
10:30  -  10:59,258,,216,,474,
11:00  -  11:29,253,,211,,464,
11:30  -  11:59,289,,255,,544,
12:00  -  12:29,310,,242,,552,
12:30  -  12:59,301,,295,,596,
13:00  -  13:29,240,,263,,503,
13:30  -  13:59,257,,269,,526,
14:00  -  14:29,235,,309,,544,
14:30  -  14:59,227,,412,,639,
15:00  -  15:14,219,,283,,502,
15:15  -  15:29,218,,411,,629,
15:30  -  15:44,249,,457,,706,
15:45  -  15:59,265,,262,,527,
16:00  -  16:14,326,,284,,610,
16:15  -  16:29,308,,272,,580,
16:30  -  16:44,265,,317,,582,
16:45  -  16:59,228,,358,,586,
17:00  -  17:14,355,,227,,582,
17:15  -  17:29,265,,364,,629,
17:30  -  17:44,230,,395,,625,
17:45  -  17:59,45,,474,,519,
18:00  -  18:14,47,,387,,434,
18:15  -  18:29,49,3343,311,5480,360,8823
18:30  -  18:44,151,,343,,494,
18:45  -  18:59,123,,335,,458,
19:00  -  19:29,150,620,442,1942,592,2562
19:30  -  19:59,127,,283,,410,
20:00  -  20:29,114,,346,,460,
20:30  -  20:59,89,,311,,400,
21:00  -  21:29,76,,290,,366,
21:30  -  21:59,64,,270,,334,
22:00  -  22:29,49,200,242,1107,291,1307
22:30  -  22:59,44,,213,,257,
23:00  -  23:29,33,,189,,222,
23:30  -  23:59,28,,179,,207,
24:00  -  24:29,22,,149,,171,
24:30  -  24:59,12,,87,,99,
25:00  -  25:29,12,,48,,60,
,,,,,,
