06:00  -  06:14,148,,39,,187,
06:15  -  06:29,175,,29,,204,
06:30  -  06:44,214,,45,,259,
06:45  -  06:59,290,,105,,395,
07:00  -  07:14,259,,136,,395,
07:15  -  07:29,316,,199,,515,
07:30  -  07:44,376,,225,,601,
07:45  -  07:59,455,,410,,865,
08:00  -  08:14,901,5245,413,2803,1314,8048
08:15  -  08:29,764,,404,,1168,
08:30  -  08:44,732,,392,,1124,
08:45  -  08:59,615,,406,,1021,
09:00  -  09:14,550,5560,325,3601,875,9161
09:15  -  09:29,441,,226,,667,
09:30  -  09:44,386,,232,,618,
09:45  -  09:59,307,,108,,415,
10:00  -  10:29,475,,163,,638,
10:30  -  10:59,389,,199,,588,
11:00  -  11:29,309,,187,,496,
11:30  -  11:59,342,,153,,495,
12:00  -  12:29,372,,321,,693,
12:30  -  12:59,459,,337,,796,
13:00  -  13:29,368,,341,,709,
13:30  -  13:59,382,,453,,835,
14:00  -  14:29,364,,294,,658,
14:30  -  14:59,416,,262,,678,
15:00  -  15:14,272,,352,,624,
15:15  -  15:29,256,,304,,560,
15:30  -  15:44,295,,311,,606,
15:45  -  15:59,319,,361,,680,
16:00  -  16:14,288,,505,,793,
16:15  -  16:29,350,,395,,745,
16:30  -  16:44,330,,587,,917,
16:45  -  16:59,304,,696,,1000,
17:00  -  17:14,330,,567,,897,
17:15  -  17:29,411,,627,,1038,
17:30  -  17:44,417,,602,,1019,
17:45  -  17:59,361,,765,,1126,
18:00  -  18:14,332,,663,,995,
18:15  -  18:29,289,,671,,960,
18:30  -  18:44,164,4918,553,8433,717,13351
18:45  -  18:59,200,,474,,674,
19:00  -  19:29,269,1076,732,3311,1001,4387
19:30  -  19:59,213,,700,,913,
20:00  -  20:29,173,,557,,730,
20:30  -  20:59,158,,496,,654,
21:00  -  21:29,141,,441,,582,
21:30  -  21:59,122,,385,,507,
22:00  -  22:29,119,443,337,1655,456,2098
22:30  -  22:59,97,,350,,447,
23:00  -  23:29,78,,343,,421,
23:30  -  23:59,55,,253,,308,
24:00  -  24:29,41,,177,,218,
24:30  -  24:59,29,,122,,151,
25:00  -  25:29,24,,73,,97,
,,,,,,
