06:00  -  06:14,23,,6,,29,
06:15  -  06:29,52,,39,,91,
06:30  -  06:44,67,,62,,129,
06:45  -  06:59,74,,61,,135,
07:00  -  07:14,82,,48,,130,
07:15  -  07:29,98,,57,,155,
07:30  -  07:44,181,,94,,275,
07:45  -  07:59,201,,72,,273,
08:00  -  08:14,211,1653,111,920,322,2573
08:15  -  08:29,209,,119,,328,
08:30  -  08:44,226,,90,,316,
08:45  -  08:59,229,,161,,390,
09:00  -  09:14,158,1579,156,1415,314,2994
09:15  -  09:29,93,,158,,251,
09:30  -  09:44,104,,91,,195,
09:45  -  09:59,58,,62,,120,
10:00  -  10:29,119,,97,,216,
10:30  -  10:59,121,,102,,223,
11:00  -  11:29,113,,85,,198,
11:30  -  11:59,91,,99,,190,
12:00  -  12:29,100,,102,,202,
12:30  -  12:59,114,,113,,227,
13:00  -  13:29,140,,117,,257,
13:30  -  13:59,107,,101,,208,
14:00  -  14:29,123,,78,,201,
14:30  -  14:59,138,,54,,192,
15:00  -  15:14,113,,122,,235,
15:15  -  15:29,165,,131,,296,
15:30  -  15:44,148,,137,,285,
15:45  -  15:59,166,,110,,276,
16:00  -  16:14,146,,93,,239,
16:15  -  16:29,154,2212,120,1892,274,4104
16:30  -  16:44,144,,106,,250,
16:45  -  16:59,148,,133,,281,
17:00  -  17:14,139,,118,,257,
17:15  -  17:29,126,,158,,284,
17:30  -  17:44,113,,87,,200,
17:45  -  17:59,115,,181,,296,
18:00  -  18:14,126,,134,,260,
18:15  -  18:29,101,,147,,248,
18:30  -  18:44,230,,86,,316,
18:45  -  18:59,78,,29,,107,
19:00  -  19:29,59,407,163,628,222,1035
19:30  -  19:59,67,,128,,195,
20:00  -  20:29,64,,96,,160,
20:30  -  20:59,74,,85,,159,
21:00  -  21:29,73,,81,,154,
21:30  -  21:59,70,,75,,145,
22:00  -  22:29,45,176,80,363,125,539
22:30  -  22:59,35,,71,,106,
23:00  -  23:29,29,,64,,93,
23:30  -  23:59,26,,52,,78,
24:00  -  24:29,20,,40,,60,
24:30  -  24:59,13,,33,,46,
25:00  -  25:29,8,,23,,31,
,,,,,,
