06:00  -  06:14,149,,60,,209,
06:15  -  06:29,150,,45,,195,
06:30  -  06:44,33,,19,,52,
06:45  -  06:59,17,,11,,28,
07:00  -  07:14,193,,99,,292,
07:15  -  07:29,276,,122,,398,
07:30  -  07:44,331,,153,,484,
07:45  -  07:59,314,,145,,459,
08:00  -  08:14,400,,223,,623,
08:15  -  08:29,494,,299,,793,
08:30  -  08:44,551,,347,,898,
08:45  -  08:59,303,"3211",277,"1800",580,"5011"
09:00  -  09:14,345,"4498",157,"3983",502,"8481"
09:15  -  09:29,309,,204,,513,
09:30  -  09:44,348,,195,,543,
09:45  -  09:59,269,,183,,452,
10:00  -  10:29,301,,207,,508,
10:30  -  10:59,291,,261,,552,
11:00  -  11:29,297,,300,,597,
11:30  -  11:59,326,,302,,628,
12:00  -  12:29,316,,308,,624,
12:30  -  12:59,306,,366,,672,
13:00  -  13:29,269,,341,,610,
13:30  -  13:59,326,,310,,636,
14:00  -  14:29,390,,414,,804,
14:30  -  14:59,405,,435,,840,
15:00  -  15:14,217,,216,,433,
15:15  -  15:29,258,,418,,676,
15:30  -  15:44,192,,440,,632,
15:45  -  15:59,241,,492,,733,
16:00  -  16:14,241,,430,,671,
16:15  -  16:29,258,,479,,737,
16:30  -  16:44,263,,489,,752,
16:45  -  16:59,226,,515,,741,
17:00  -  17:14,232,,423,,655,
17:15  -  17:29,238,,656,,894,
17:30  -  17:44,208,,640,,848,
17:45  -  17:59,221,,630,,851,
18:00  -  18:14,211,"3442",390,"7259",601,"10701"
18:15  -  18:29,173,,414,,587,
18:30  -  18:44,147,,339,,486,
18:45  -  18:59,116,,288,,404,
19:00  -  19:29,144,"1056",368,"2363",512,"3419"
19:30  -  19:59,216,,455,,671,
20:00  -  20:29,208,,432,,640,
20:30  -  20:59,202,,389,,591,
21:00  -  21:29,170,,385,,555,
21:30  -  21:59,116,,334,,450,
22:00  -  22:29,83,516,225,"1225",308,"1741"
22:30  -  22:59,107,,326,,433,
23:00  -  23:29,96,,240,,336,
23:30  -  23:59,86,,182,,268,
24:00  -  24:29,84,,122,,206,
24:30  -  24:59,37,,91,,128,
25:00  -  25:29,23,,39,,62,
,,,,,,
