06:00  -  06:14,25,,132,,157,
06:15  -  06:29,33,,113,,146,
06:30  -  06:44,48,,156,,204,
06:45  -  06:59,54,,493,,547,
07:00  -  07:14,86,,576,,662,
07:15  -  07:29,87,,736,,823,
07:30  -  07:44,139,,876,,1015,
07:45  -  07:59,136,,1197,,1333,
08:00  -  08:14,184,1163,1324,9716,1508,10879
08:15  -  08:29,151,,1413,,1564,
08:30  -  08:44,113,,1273,,1386,
08:45  -  08:59,107,,1427,,1534,
09:00  -  09:14,118,6630,1017,13881,1135,20511
09:15  -  09:29,117,,950,,1067,
09:30  -  09:44,107,,1238,,1345,
09:45  -  09:59,164,,801,,965,
10:00  -  10:29,203,,1318,,1521,
10:30  -  10:59,251,,987,,1238,
11:00  -  11:29,299,,941,,1240,
11:30  -  11:59,407,,1119,,1526,
12:00  -  12:29,439,,1081,,1520,
12:30  -  12:59,527,,443,,970,
13:00  -  13:29,569,,1213,,1782,
13:30  -  13:59,842,,951,,1793,
14:00  -  14:29,1134,,882,,2016,
14:30  -  14:59,1453,,940,,2393,
15:00  -  15:14,974,,552,,1526,
15:15  -  15:29,831,,553,,1384,
15:30  -  15:44,945,,426,,1371,
15:45  -  15:59,1066,,489,,1555,
16:00  -  16:14,1489,,400,,1889,
16:15  -  16:29,1416,,473,,1889,
16:30  -  16:44,1286,,443,,1729,
16:45  -  16:59,1243,,495,,1738,
17:00  -  17:14,1423,17938,599,10708,2022,28646
17:15  -  17:29,1416,,555,,1971,
17:30  -  17:44,1252,,571,,1823,
17:45  -  17:59,870,,907,,1777,
18:00  -  18:14,943,,980,,1923,
18:15  -  18:29,789,,1113,,1902,
18:30  -  18:44,1004,,1115,,2119,
18:45  -  18:59,991,,1037,,2028,
19:00  -  19:29,885,5696,1155,3785,2040,9481
19:30  -  19:59,765,,987,,1752,
20:00  -  20:29,927,,703,,1630,
20:30  -  20:59,1049,,456,,1505,
21:00  -  21:29,1000,,255,,1255,
21:30  -  21:59,1070,,229,,1299,
22:00  -  22:29,1077,3380,195,666,1272,4046
22:30  -  22:59,720,,185,,905,
23:00  -  23:29,508,,109,,617,
23:30  -  23:59,514,,75,,589,
24:00  -  24:29,260,,42,,302,
24:30  -  24:59,186,,39,,225,
25:00  -  25:29,115,,21,,136,
,,,,,,
