06:00  -  06:14,14,,2,,16,
06:15  -  06:29,20,,5,,25,
06:30  -  06:44,17,,19,,36,
06:45  -  06:59,40,,26,,66,
07:00  -  07:14,60,,38,,98,
07:15  -  07:29,66,,49,,115,
07:30  -  07:44,109,,72,,181,
07:45  -  07:59,113,,86,,199,
08:00  -  08:14,98,1005,49,639,147,1644
08:15  -  08:29,152,,103,,255,
08:30  -  08:44,177,,85,,262,
08:45  -  08:59,139,,105,,244,
09:00  -  09:14,95,1390,118,1416,213,2806
09:15  -  09:29,90,,89,,179,
09:30  -  09:44,77,,69,,146,
09:45  -  09:59,88,,66,,154,
10:00  -  10:29,103,,97,,200,
10:30  -  10:59,101,,106,,207,
11:00  -  11:29,85,,115,,200,
11:30  -  11:59,147,,115,,262,
12:00  -  12:29,99,,96,,195,
12:30  -  12:59,81,,82,,163,
13:00  -  13:29,99,,102,,201,
13:30  -  13:59,101,,126,,227,
14:00  -  14:29,116,,113,,229,
14:30  -  14:59,108,,122,,230,
15:00  -  15:14,80,,63,,143,
15:15  -  15:29,99,,99,,198,
15:30  -  15:44,108,,69,,177,
15:45  -  15:59,71,,76,,147,
16:00  -  16:14,102,,73,,175,
16:15  -  16:29,57,,87,,144,
16:30  -  16:44,84,,84,,168,
16:45  -  16:59,65,,85,,150,
17:00  -  17:14,95,,109,,204,
17:15  -  17:29,90,,75,,165,
17:30  -  17:44,84,,115,,199,
17:45  -  17:59,98,,171,,269,
18:00  -  18:14,92,,109,,201,
18:15  -  18:29,74,,101,,175,
18:30  -  18:44,64,1320,108,1537,172,2857
18:45  -  18:59,57,,113,,170,
19:00  -  19:29,56,290,115,534,171,824
19:30  -  19:59,64,,107,,171,
20:00  -  20:29,56,,90,,146,
20:30  -  20:59,37,,70,,107,
21:00  -  21:29,45,,82,,127,
21:30  -  21:59,32,,70,,102,
22:00  -  22:29,27,136,58,231,85,367
22:30  -  22:59,26,,55,,81,
23:00  -  23:29,24,,47,,71,
23:30  -  23:59,24,,34,,58,
24:00  -  24:29,19,,23,,42,
24:30  -  24:59,10,,11,,21,
25:00  -  25:29,6,,3,,9,
,,,,,,
