06:00 - 06:14,97,,1,,98,
06:15 - 06:29,186,,34,,220,
06:30 - 06:44,142,,40,,182,
06:45 - 06:59,171,,33,,204,
07:00 - 07:14,363,,52,,415,
07:15 - 07:29,379,,59,,438,
07:30 - 07:44,404,,89,,493,
07:45 - 07:59,518,,127,,645,
08:00 - 08:14,561,,112,,673,
08:15 - 08:29,515,,105,,620,
08:30 - 08:44,567,,83,,650,
08:45 - 08:59,483,4386,90,825,573,5211
09:00 - 09:14,439,3241,57,1824,496,5065
09:15 - 09:29,405,,56,,461,
09:30 - 09:44,182,,70,,252,
09:45 - 09:59,246,,64,,310,
10:00 - 10:29,183,,90,,273,
10:30 - 10:59,197,,109,,306,
11:00 - 11:29,207,,136,,343,
11:30 - 11:59,178,,123,,301,
12:00 - 12:29,206,,131,,337,
12:30 - 12:59,186,,135,,321,
13:00 - 13:29,193,,187,,380,
13:30 - 13:59,212,,169,,381,
14:00 - 14:29,213,,184,,397,
14:30 - 14:59,194,,313,,507,
15:00 - 15:14,150,,139,,289,
15:15 - 15:29,130,,238,,368,
15:30 - 15:44,125,,264,,389,
15:45 - 15:59,120,,239,,359,
16:00 - 16:14,229,,228,,457,
16:15 - 16:29,126,,185,,311,
16:30 - 16:44,141,,308,,449,
16:45 - 16:59,112,,327,,439,
17:00 - 17:14,130,,379,,509,
17:15 - 17:29,230,,321,,551,
17:30 - 17:44,204,,340,,544,
17:45 - 17:59,170,,401,,571,
18:00 - 18:14,153,,385,,538,
18:15 - 18:29,146,2341,302,4526,448,6867
18:30 - 18:44,104,,258,,362,
18:45 - 18:59,71,,212,,283,
19:00 - 19:29,147,603,407,1787,554,2390
19:30 - 19:59,121,,334,,455,
20:00 - 20:29,100,,273,,373,
20:30 - 20:59,88,,267,,355,
21:00 - 21:29,79,,258,,337,
21:30 - 21:59,68,,248,,316,
22:00 - 22:29,42,159,279,1036,321,1195
22:30 - 22:59,39,,247,,286,
23:00 - 23:29,28,,180,,208,
23:30 - 23:59,17,,140,,157,
24:00 - 24:29,15,,103,,118,
24:30 - 24:59,10,,54,,64,
25:00 - 25:29,8,,33,,41,
,,,,,,
