06:00 - 06:14,179,,109,,288,
06:15 - 06:29,147,,159,,306,
06:30 - 06:44,239,,145,,384,
06:45 - 06:59,265,,247,,512,
07:00 - 07:14,331,,234,,565,
07:15 - 07:29,486,,313,,799,
07:30 - 07:44,590,,571,,1161,
07:45 - 07:59,720,,845,,1565,
08:00 - 08:14,895,,888,,1783,
08:15 - 08:29,1025,6610,1229,8175,2254,14785
08:30 - 08:44,983,,1585,,2568,
08:45 - 08:59,750,,1850,,2600,
09:00 - 09:14,505,,1333,,1838,
09:15 - 09:29,484,7520,932,11396,1416,18916
09:30 - 09:44,395,,641,,1036,
09:45 - 09:59,343,,599,,942,
10:00 - 10:29,384,,773,,1157,
10:30 - 10:59,344,,722,,1066,
11:00 - 11:29,485,,838,,1323,
11:30 - 11:59,407,,902,,1309,
12:00 - 12:29,546,,861,,1407,
12:30 - 12:59,468,,827,,1295,
13:00 - 13:29,685,,735,,1420,
13:30 - 13:59,772,,731,,1503,
14:00 - 14:29,828,,643,,1471,
14:30 - 14:59,874,,859,,1733,
15:00 - 15:14,538,,470,,1008,
15:15 - 15:29,535,,529,,1064,
15:30 - 15:44,612,,736,,1348,
15:45 - 15:59,630,,608,,1238,
16:00 - 16:14,660,,738,,1398,
16:15 - 16:29,726,,708,,1434,
16:30 - 16:44,696,,814,,1510,
16:45 - 16:59,699,,834,,1533,
17:00 - 17:14,1070,,857,,1927,
17:15 - 17:29,1039,,1121,,2160,
17:30 - 17:44,834,,879,,1713,
17:45 - 17:59,723,,1024,,1747,
18:00 - 18:14,717,,908,,1625,
18:15 - 18:29,587,10991,856,12431,1443,23422
18:30 - 18:44,509,,718,,1227,
18:45 - 18:59,416,,631,,1047,
19:00 - 19:29,667,2849,1051,4895,1718,7744
19:30 - 19:59,624,,962,,1586,
20:00 - 20:29,457,,851,,1308,
20:30 - 20:59,426,,719,,1145,
21:00 - 21:29,369,,664,,1033,
21:30 - 21:59,306,,648,,954,
22:00 - 22:29,292,1177,489,2480,781,3657
22:30 - 22:59,224,,387,,611,
23:00 - 23:29,202,,453,,655,
23:30 - 23:59,145,,383,,528,
24:00 - 24:29,140,,304,,444,
24:30 - 24:59,104,,262,,366,
25:00 - 25:29,70,,202,,272,
,,,,,,
