06:00 - 06:14,399,,213,,612,
06:15 - 06:29,427,,164,,591,
06:30 - 06:44,513,,266,,779,
06:45 - 06:59,778,,331,,1109,
07:00 - 07:14,1274,,322,,1596,
07:15 - 07:29,1967,,320,,2287,
07:30 - 07:44,2104,,487,,2591,
07:45 - 07:59,2749,,400,,3149,
08:00 - 08:14,2669,,536,,3205,
08:15 - 08:29,2389,,512,,2901,
08:30 - 08:44,2177,,497,,2674,
08:45 - 08:59,1567,19013,574,4622,2141,23635
09:00 - 09:14,1081,11571,363,8766,1444,20337
09:15 - 09:29,983,,432,,1415,
09:30 - 09:44,756,,334,,1090,
09:45 - 09:59,648,,276,,924,
10:00 - 10:29,1186,,487,,1673,
10:30 - 10:59,933,,484,,1417,
11:00 - 11:29,755,,554,,1309,
11:30 - 11:59,806,,707,,1513,
12:00 - 12:29,772,,605,,1377,
12:30 - 12:59,715,,749,,1464,
13:00 - 13:29,699,,786,,1485,
13:30 - 13:59,667,,878,,1545,
14:00 - 14:29,688,,915,,1603,
14:30 - 14:59,882,,1196,,2078,
15:00 - 15:14,631,,745,,1376,
15:15 - 15:29,573,,814,,1387,
15:30 - 15:44,592,,937,,1529,
15:45 - 15:59,653,,1095,,1748,
16:00 - 16:14,579,,1298,,1877,
16:15 - 16:29,662,,1412,,2074,
16:30 - 16:44,649,,1534,,2183,
16:45 - 16:59,630,,2180,,2810,
17:00 - 17:14,793,,1687,,2480,
17:15 - 17:29,749,,1936,,2685,
17:30 - 17:44,741,,1946,,2687,
17:45 - 17:59,560,9575,1896,23334,2456,32909
18:00 - 18:14,528,,1547,,2075,
18:15 - 18:29,424,,1627,,2051,
18:30 - 18:44,408,,1353,,1761,
18:45 - 18:59,403,,1327,,1730,
19:00 - 19:29,408,2021,1622,8371,2030,10392
19:30 - 19:59,370,,1476,,1846,
20:00 - 20:29,336,,1358,,1694,
20:30 - 20:59,315,,1612,,1927,
21:00 - 21:29,303,,1237,,1540,
21:30 - 21:59,289,,1066,,1355,
22:00 - 22:29,259,1176,885,3614,1144,4790
22:30 - 22:59,257,,797,,1054,
23:00 - 23:29,206,,628,,834,
23:30 - 23:59,169,,474,,643,
24:00 - 24:29,118,,366,,484,
24:30 - 24:59,93,,269,,362,
25:00 - 25:29,74,,195,,269,
,,,,,,
