06:00 - 06:14,28,,1,,29,
06:15 - 06:29,48,,7,,55,
06:30 - 06:44,48,,8,,56,
06:45 - 06:59,57,,11,,68,
07:00 - 07:14,71,,9,,80,
07:15 - 07:29,131,,18,,149,
07:30 - 07:44,162,,26,,188,
07:45 - 07:59,188,,27,,215,
08:00 - 08:14,259,,21,,280,
08:15 - 08:29,202,,27,,229,
08:30 - 08:44,203,,40,,243,
08:45 - 08:59,92,1489,44,239,136,1728
09:00 - 09:14,64,996,28,610,92,1606
09:15 - 09:29,64,,24,,88,
09:30 - 09:44,69,,28,,97,
09:45 - 09:59,60,,19,,79,
10:00 - 10:29,96,,35,,131,
10:30 - 10:59,96,,31,,127,
11:00 - 11:29,82,,31,,113,
11:30 - 11:59,83,,30,,113,
12:00 - 12:29,95,,38,,133,
12:30 - 12:59,75,,59,,134,
13:00 - 13:29,60,,61,,121,
13:30 - 13:59,57,,71,,128,
14:00 - 14:29,47,,73,,120,
14:30 - 14:59,48,,82,,130,
15:00 - 15:14,24,,61,,85,
15:15 - 15:29,41,,64,,105,
15:30 - 15:44,43,,77,,120,
15:45 - 15:59,52,,85,,137,
16:00 - 16:14,28,,86,,114,
16:15 - 16:29,36,,84,,120,
16:30 - 16:44,63,,119,,182,
16:45 - 16:59,39,,114,,153,
17:00 - 17:14,59,,140,,199,
17:15 - 17:29,80,,132,,212,
17:30 - 17:44,56,,162,,218,
17:45 - 17:59,29,677,91,1511,120,2188
18:00 - 18:14,37,,88,,125,
18:15 - 18:29,31,,73,,104,
18:30 - 18:44,33,,68,,101,
18:45 - 18:59,26,,67,,93,
19:00 - 19:29,66,230,107,558,173,788
19:30 - 19:59,53,,105,,158,
20:00 - 20:29,34,,98,,132,
20:30 - 20:59,32,,87,,119,
21:00 - 21:29,26,,83,,109,
21:30 - 21:59,19,,78,,97,
22:00 - 22:29,18,65,64,243,82,308
22:30 - 22:59,14,,55,,69,
23:00 - 23:29,10,,42,,52,
23:30 - 23:59,12,,28,,40,
24:00 - 24:29,6,,26,,32,
24:30 - 24:59,4,,16,,20,
25:00 - 25:29,1,,12,,13,
,,,,,,
