06:00 - 06:14,23,,12,,35,
06:15 - 06:29,39,,27,,66,
06:30 - 06:44,33,,41,,74,
06:45 - 06:59,45,,34,,79,
07:00 - 07:14,82,,35,,117,
07:15 - 07:29,111,,38,,149,
07:30 - 07:44,127,,56,,183,
07:45 - 07:59,165,,101,,266,
08:00 - 08:14,162,1370,157,1225,319,2595
08:15 - 08:29,249,,278,,527,
08:30 - 08:44,194,,345,,539,
08:45 - 08:59,140,,101,,241,
09:00 - 09:14,117,1679,64,1192,181,2871
09:15 - 09:29,96,,49,,145,
09:30 - 09:44,82,,54,,136,
09:45 - 09:59,79,,64,,143,
10:00 - 10:29,154,,74,,228,
10:30 - 10:59,114,,64,,178,
11:00 - 11:29,114,,84,,198,
11:30 - 11:59,118,,116,,234,
12:00 - 12:29,124,,106,,230,
12:30 - 12:59,90,,96,,186,
13:00 - 13:29,95,,90,,185,
13:30 - 13:59,110,,130,,240,
14:00 - 14:29,56,,73,,129,
14:30 - 14:59,330,,128,,458,
15:00 - 15:14,402,,77,,479,
15:15 - 15:29,210,,91,,301,
15:30 - 15:44,157,,154,,311,
15:45 - 15:59,74,,98,,172,
16:00 - 16:14,115,1671,145,2018,260,3689
16:15 - 16:29,105,,121,,226,
16:30 - 16:44,53,,83,,136,
16:45 - 16:59,85,,107,,192,
17:00 - 17:14,69,,133,,202,
17:15 - 17:29,70,,188,,258,
17:30 - 17:44,79,,132,,211,
17:45 - 17:59,56,,211,,267,
18:00 - 18:14,71,,159,,230,
18:15 - 18:29,33,,115,,148,
18:30 - 18:44,51,,93,,144,
18:45 - 18:59,41,,111,,152,
19:00 - 19:29,105,424,205,968,310,1392
19:30 - 19:59,88,,168,,256,
20:00 - 20:29,69,,165,,234,
20:30 - 20:59,68,,147,,215,
21:00 - 21:29,54,,144,,198,
21:30 - 21:59,40,,139,,179,
22:00 - 22:29,28,109,119,425,147,534
22:30 - 22:59,25,,98,,123,
23:00 - 23:29,24,,81,,105,
23:30 - 23:59,14,,63,,77,
24:00 - 24:29,10,,38,,48,
24:30 - 24:59,5,,19,,24,
25:00 - 25:29,3,,7,,10,
,,,,,,
