06:00 - 06:14,158,,92,,250,
06:15 - 06:29,165,,162,,327,
06:30 - 06:44,298,,286,,584,
06:45 - 06:59,300,,207,,507,
07:00 - 07:14,596,,303,,899,
07:15 - 07:29,714,,379,,1093,
07:30 - 07:44,859,,390,,1249,
07:45 - 07:59,863,,392,,1255,
08:00 - 08:14,1052,,410,,1462,
08:15 - 08:29,930,,389,,1319,
08:30 - 08:44,797,7411,414,3833,1211,11244
08:45 - 08:59,679,,409,,1088,
09:00 - 09:14,550,5584,307,3851,857,9435
09:15 - 09:29,497,,218,,715,
09:30 - 09:44,435,,203,,638,
09:45 - 09:59,369,,222,,591,
10:00 - 10:29,471,,339,,810,
10:30 - 10:59,456,,307,,763,
11:00 - 11:29,366,,260,,626,
11:30 - 11:59,346,,240,,586,
12:00 - 12:29,320,,230,,550,
12:30 - 12:59,302,,237,,539,
13:00 - 13:29,298,,301,,599,
13:30 - 13:59,308,,325,,633,
14:00 - 14:29,384,,264,,648,
14:30 - 14:59,482,,398,,880,
15:00 - 15:14,298,,298,,596,
15:15 - 15:29,302,,338,,640,
15:30 - 15:44,488,,377,,865,
15:45 - 15:59,416,,399,,815,
16:00 - 16:14,529,,485,,1014,
16:15 - 16:29,519,,411,,930,
16:30 - 16:44,645,,484,,1129,
16:45 - 16:59,629,,485,,1114,
17:00 - 17:14,612,,611,,1223,
17:15 - 17:29,685,,594,,1279,
17:30 - 17:44,660,,602,,1262,
17:45 - 17:59,699,,652,,1351,
18:00 - 18:14,634,,541,,1175,
18:15 - 18:29,532,8278,554,8013,1086,16291
18:30 - 18:44,326,,576,,902,
18:45 - 18:59,304,,606,,910,
19:00 - 19:29,303,1304,747,3344,1050,4648
19:30 - 19:59,294,,721,,1015,
20:00 - 20:29,218,,617,,835,
20:30 - 20:59,186,,455,,641,
21:00 - 21:29,157,,423,,580,
21:30 - 21:59,146,,381,,527,
22:00 - 22:29,138,676,361,1439,499,2115
22:30 - 22:59,123,,301,,424,
23:00 - 23:29,125,,255,,380,
23:30 - 23:59,113,,209,,322,
24:00 - 24:29,80,,149,,229,
24:30 - 24:59,64,,104,,168,
25:00 - 25:29,33,,60,,93,
,,,,,,
