06:00 - 06:14,98,,24,,122,
06:15 - 06:29,94,,46,,140,
06:30 - 06:44,116,,72,,188,
06:45 - 06:59,118,,48,,166,
07:00 - 07:14,201,,42,,243,
07:15 - 07:29,189,,68,,257,
07:30 - 07:44,345,,61,,406,
07:45 - 07:59,377,,94,,471,
08:00 - 08:14,382,,100,,482,
08:15 - 08:29,338,,97,,435,
08:30 - 08:44,371,,80,,451,
08:45 - 08:59,325,2954,67,799,392,3753
09:00 - 09:14,191,2406,73,1779,264,4185
09:15 - 09:29,169,,72,,241,
09:30 - 09:44,142,,73,,215,
09:45 - 09:59,155,,74,,229,
10:00 - 10:29,136,,116,,252,
10:30 - 10:59,161,,108,,269,
11:00 - 11:29,175,,112,,287,
11:30 - 11:59,206,,167,,373,
12:00 - 12:29,177,,145,,322,
12:30 - 12:59,176,,128,,304,
13:00 - 13:29,165,,142,,307,
13:30 - 13:59,184,,174,,358,
14:00 - 14:29,175,,155,,330,
14:30 - 14:59,194,,240,,434,
15:00 - 15:14,40,,182,,222,
15:15 - 15:29,194,,183,,377,
15:30 - 15:44,178,,226,,404,
15:45 - 15:59,145,,185,,330,
16:00 - 16:14,155,,207,,362,
16:15 - 16:29,136,,287,,423,
16:30 - 16:44,171,,188,,359,
16:45 - 16:59,126,,250,,376,
17:00 - 17:14,152,,334,,486,
17:15 - 17:29,130,,292,,422,
17:30 - 17:44,107,,233,,340,
17:45 - 17:59,159,,358,,517,
18:00 - 18:14,157,2198,236,3728,393,5926
18:15 - 18:29,129,,230,,359,
18:30 - 18:44,120,,203,,323,
18:45 - 18:59,99,,134,,233,
19:00 - 19:29,161,705,187,1205,348,1910
19:30 - 19:59,145,,195,,340,
20:00 - 20:29,115,,201,,316,
20:30 - 20:59,100,,205,,305,
21:00 - 21:29,95,,199,,294,
21:30 - 21:59,89,,218,,307,
22:00 - 22:29,71,348,200,870,271,1218
22:30 - 22:59,67,,202,,269,
23:00 - 23:29,58,,136,,194,
23:30 - 23:59,51,,110,,161,
24:00 - 24:29,38,,92,,130,
24:30 - 24:59,34,,75,,109,
25:00 - 25:29,29,,55,,84,
,,,,,,
