06:00 - 06:14,47,,120,,167,
06:15 - 06:29,44,,302,,346,
06:30 - 06:44,45,,322,,367,
06:45 - 06:59,56,,347,,403,
07:00 - 07:14,88,,507,,595,
07:15 - 07:29,85,,705,,790,
07:30 - 07:44,175,,993,,1168,
07:45 - 07:59,206,,1341,,1547,
08:00 - 08:14,251,,1615,,1866,
08:15 - 08:29,286,,1851,,2137,
08:30 - 08:44,306,1868,2337,12688,2643,14556
08:45 - 08:59,279,,2248,,2527,
09:00 - 09:14,216,,1796,,2012,
09:15 - 09:29,180,,1864,,2044,
09:30 - 09:44,157,5650,1453,13714,1610,19364
09:45 - 09:59,118,,1054,,1172,
10:00 - 10:29,292,,1367,,1659,
10:30 - 10:59,295,,1126,,1421,
11:00 - 11:29,388,,767,,1155,
11:30 - 11:59,390,,698,,1088,
12:00 - 12:29,521,,668,,1189,
12:30 - 12:59,496,,644,,1140,
13:00 - 13:29,642,,636,,1278,
13:30 - 13:59,756,,771,,1527,
14:00 - 14:29,625,,544,,1169,
14:30 - 14:59,574,,326,,900,
15:00 - 15:14,471,,477,,948,
15:15 - 15:29,364,,272,,636,
15:30 - 15:44,440,,358,,798,
15:45 - 15:59,549,,309,,858,
16:00 - 16:14,921,,287,,1208,
16:15 - 16:29,885,,280,,1165,
16:30 - 16:44,943,,332,,1275,
16:45 - 16:59,1259,,398,,1657,
17:00 - 17:14,1856,,377,,2233,
17:15 - 17:29,1759,,465,,2224,
17:30 - 17:44,1404,,518,,1922,
17:45 - 17:59,1176,15279,470,5787,1646,21066
18:00 - 18:14,1094,,387,,1481,
18:15 - 18:29,840,,330,,1170,
18:30 - 18:44,718,,288,,1006,
18:45 - 18:59,600,,239,,839,
19:00 - 19:29,705,2875,255,1036,960,3911
19:30 - 19:59,563,,204,,767,
20:00 - 20:29,450,,138,,588,
20:30 - 20:59,412,,154,,566,
21:00 - 21:29,411,,155,,566,
21:30 - 21:59,334,,130,,464,
22:00 - 22:29,248,1134,104,464,352,1598
22:30 - 22:59,263,,118,,381,
23:00 - 23:29,243,,85,,328,
23:30 - 23:59,184,,66,,250,
24:00 - 24:29,103,,51,,154,
24:30 - 24:59,61,,29,,90,
25:00 - 25:29,32,,11,,43,
,,,,,,
