06:00 - 06:14,300,,150,,450,
06:15 - 06:29,228,,263,,491,
06:30 - 06:44,390,,354,,744,
06:45 - 06:59,411,,235,,646,
07:00 - 07:14,577,,312,,889,
07:15 - 07:29,777,,372,,1149,
07:30 - 07:44,974,,400,,1374,
07:45 - 07:59,1058,,452,,1510,
08:00 - 08:14,1054,,429,,1483,
08:15 - 08:29,1165,,436,,1601,
08:30 - 08:44,1093,,369,,1462,
08:45 - 08:59,593,8620,321,4093,914,12713
09:00 - 09:14,641,6451,274,5332,915,11783
09:15 - 09:29,615,,283,,898,
09:30 - 09:44,380,,245,,625,
09:45 - 09:59,297,,175,,472,
10:00 - 10:29,605,,377,,982,
10:30 - 10:59,382,,258,,640,
11:00 - 11:29,345,,448,,793,
11:30 - 11:59,510,,412,,922,
12:00 - 12:29,402,,318,,720,
12:30 - 12:59,340,,369,,709,
13:00 - 13:29,578,,378,,956,
13:30 - 13:59,428,,464,,892,
14:00 - 14:29,469,,626,,1095,
14:30 - 14:59,459,,705,,1164,
15:00 - 15:14,344,,434,,778,
15:15 - 15:29,289,,454,,743,
15:30 - 15:44,422,,657,,1079,
15:45 - 15:59,379,,530,,909,
16:00 - 16:14,360,,540,,900,
16:15 - 16:29,571,,592,,1163,
16:30 - 16:44,444,,798,,1242,
16:45 - 16:59,573,,817,,1390,
17:00 - 17:14,562,,854,,1416,
17:15 - 17:29,828,,815,,1643,
17:30 - 17:44,701,,768,,1469,
17:45 - 17:59,515,,1308,,1823,
18:00 - 18:14,265,7073,735,10836,1000,17909
18:15 - 18:29,315,,582,,897,
18:30 - 18:44,300,,497,,797,
18:45 - 18:59,205,,455,,660,
19:00 - 19:29,304,1401,638,2997,942,4398
19:30 - 19:59,271,,499,,770,
20:00 - 20:29,251,,571,,822,
20:30 - 20:59,227,,500,,727,
21:00 - 21:29,235,,474,,709,
21:30 - 21:59,113,,315,,428,
22:00 - 22:29,197,888,621,1650,818,2538
22:30 - 22:59,105,,343,,448,
23:00 - 23:29,153,,238,,391,
23:30 - 23:59,184,,128,,312,
24:00 - 24:29,132,,109,,241,
24:30 - 24:59,92,,121,,213,
25:00 - 25:29,25,,90,,115,
,,,,,,
