06:00 - 06:14,75,,15,,90,
06:15 - 06:29,97,,19,,116,
06:30 - 06:44,78,,22,,100,
06:45 - 06:59,62,,37,,99,
07:00 - 07:14,114,,27,,141,
07:15 - 07:29,117,,34,,151,
07:30 - 07:44,111,,41,,152,
07:45 - 07:59,149,,41,,190,
08:00 - 08:14,144,1422,67,551,211,1973
08:15 - 08:29,158,,81,,239,
08:30 - 08:44,156,,76,,232,
08:45 - 08:59,161,,91,,252,
09:00 - 09:14,97,1413,46,910,143,2323
09:15 - 09:29,126,,57,,183,
09:30 - 09:44,111,,54,,165,
09:45 - 09:59,76,,59,,135,
10:00 - 10:29,143,,81,,224,
10:30 - 10:59,113,,66,,179,
11:00 - 11:29,71,,38,,109,
11:30 - 11:59,65,,37,,102,
12:00 - 12:29,74,,48,,122,
12:30 - 12:59,74,,60,,134,
13:00 - 13:29,53,,50,,103,
13:30 - 13:59,105,,90,,195,
14:00 - 14:29,129,,102,,231,
14:30 - 14:59,176,,122,,298,
15:00 - 15:14,46,,77,,123,
15:15 - 15:29,126,,83,,209,
15:30 - 15:44,78,,84,,162,
15:45 - 15:59,92,,108,,200,
16:00 - 16:14,70,,93,,163,
16:15 - 16:29,100,,88,,188,
16:30 - 16:44,65,,134,,199,
16:45 - 16:59,60,,147,,207,
17:00 - 17:14,92,,110,,202,
17:15 - 17:29,91,,114,,205,
17:30 - 17:44,61,1181,97,1485,158,2666
17:45 - 17:59,71,,87,,158,
18:00 - 18:14,66,,79,,145,
18:15 - 18:29,63,,71,,134,
18:30 - 18:44,54,,63,,117,
18:45 - 18:59,46,,50,,96,
19:00 - 19:29,78,238,105,425,183,663
19:30 - 19:59,58,,86,,144,
20:00 - 20:29,41,,50,,91,
20:30 - 20:59,20,,65,,85,
21:00 - 21:29,21,,62,,83,
21:30 - 21:59,20,,57,,77,
22:00 - 22:29,18,50,47,254,65,304
22:30 - 22:59,16,,58,,74,
23:00 - 23:29,8,,50,,58,
23:30 - 23:59,5,,40,,45,
24:00 - 24:29,1,,30,,31,
24:30 - 24:59,2,,18,,20,
25:00 - 25:29,0,,11,,11,
,,,,,,
