06:00 - 06:14,86,,30,,116,
06:15 - 06:29,166,,96,,262,
06:30 - 06:44,195,,87,,282,
06:45 - 06:59,219,,90,,309,
07:00 - 07:14,147,,66,,213,
07:15 - 07:29,213,,81,,294,
07:30 - 07:44,194,,196,,390,
07:45 - 07:59,169,,144,,313,
08:00 - 08:14,271,2480,126,1548,397,4028
08:15 - 08:29,313,,197,,510,
08:30 - 08:44,294,,242,,536,
08:45 - 08:59,213,,193,,406,
09:00 - 09:14,197,2574,157,2379,354,4953
09:15 - 09:29,167,,179,,346,
09:30 - 09:44,105,,140,,245,
09:45 - 09:59,97,,116,,213,
10:00 - 10:29,150,,141,,291,
10:30 - 10:59,162,,82,,244,
11:00 - 11:29,185,,155,,340,
11:30 - 11:59,221,,188,,409,
12:00 - 12:29,168,,154,,322,
12:30 - 12:59,208,,185,,393,
13:00 - 13:29,214,,147,,361,
13:30 - 13:59,227,,201,,428,
14:00 - 14:29,213,,219,,432,
14:30 - 14:59,260,,315,,575,
15:00 - 15:14,199,,193,,392,
15:15 - 15:29,170,,366,,536,
15:30 - 15:44,162,,348,,510,
15:45 - 15:59,166,,306,,472,
16:00 - 16:14,239,,213,,452,
16:15 - 16:29,231,,245,,476,
16:30 - 16:44,196,,311,,507,
16:45 - 16:59,208,,312,,520,
17:00 - 17:14,169,,268,,437,
17:15 - 17:29,186,,305,,491,
17:30 - 17:44,195,,377,,572,
17:45 - 17:59,172,,306,,478,
18:00 - 18:14,211,,298,,509,
18:15 - 18:29,125,2882,190,4532,315,7414
18:30 - 18:44,122,,255,,377,
18:45 - 18:59,131,,239,,370,
19:00 - 19:29,178,880,318,1501,496,2381
19:30 - 19:59,161,,290,,451,
20:00 - 20:29,170,,267,,437,
20:30 - 20:59,145,,231,,376,
21:00 - 21:29,124,,209,,333,
21:30 - 21:59,102,,186,,288,
22:00 - 22:29,76,258,169,708,245,966
22:30 - 22:59,52,,134,,186,
23:00 - 23:29,54,,121,,175,
23:30 - 23:59,40,,112,,152,
24:00 - 24:29,19,,89,,108,
24:30 - 24:59,12,,57,,69,
25:00 - 25:29,5,,26,,31,
,,,,,,
