06:00 - 06:14,47,,68,,115,
06:15 - 06:29,59,,82,,141,
06:30 - 06:44,138,,81,,219,
06:45 - 06:59,123,,168,,291,
07:00 - 07:14,227,,218,,445,
07:15 - 07:29,254,,220,,474,
07:30 - 07:44,327,,282,,609,
07:45 - 07:59,346,,428,,774,
08:00 - 08:14,433,3178,471,3524,904,6702
08:15 - 08:29,491,,459,,950,
08:30 - 08:44,416,,441,,857,
08:45 - 08:59,317,,606,,923,
09:00 - 09:14,308,3710,309,3651,617,7361
09:15 - 09:29,230,,260,,490,
09:30 - 09:44,229,,234,,463,
09:45 - 09:59,203,,102,,305,
10:00 - 10:29,296,,210,,506,
10:30 - 10:59,193,,235,,428,
11:00 - 11:29,271,,222,,493,
11:30 - 11:59,325,,203,,528,
12:00 - 12:29,224,,245,,469,
12:30 - 12:59,265,,226,,491,
13:00 - 13:29,224,,252,,476,
13:30 - 13:59,296,,311,,607,
14:00 - 14:29,305,,400,,705,
14:30 - 14:59,341,,442,,783,
15:00 - 15:14,150,,192,,342,
15:15 - 15:29,294,,175,,469,
15:30 - 15:44,327,,243,,570,
15:45 - 15:59,244,,219,,463,
16:00 - 16:14,239,,265,,504,
16:15 - 16:29,251,,298,,549,
16:30 - 16:44,313,,309,,622,
16:45 - 16:59,310,,342,,652,
17:00 - 17:14,232,,347,,579,
17:15 - 17:29,243,,378,,621,
17:30 - 17:44,311,,368,,679,
17:45 - 17:59,203,4060,285,4453,488,8513
18:00 - 18:14,309,,285,,594,
18:15 - 18:29,209,,282,,491,
18:30 - 18:44,233,,235,,468,
18:45 - 18:59,192,,230,,422,
19:00 - 19:29,276,1118,340,1437,616,2555
19:30 - 19:59,220,,276,,496,
20:00 - 20:29,190,,231,,421,
20:30 - 20:59,146,,209,,355,
21:00 - 21:29,144,,199,,343,
21:30 - 21:59,142,,182,,324,
22:00 - 22:29,104,340,190,631,294,971
22:30 - 22:59,71,,148,,219,
23:00 - 23:29,57,,101,,158,
23:30 - 23:59,49,,77,,126,
24:00 - 24:29,32,,53,,85,
24:30 - 24:59,16,,37,,53,
25:00 - 25:29,11,,25,,36,
,,,,,,
