06:00 - 06:14,26,,18,,44,
06:15 - 06:29,14,,10,,24,
06:30 - 06:44,13,,32,,45,
06:45 - 06:59,36,,32,,68,
07:00 - 07:14,53,,34,,87,
07:15 - 07:29,83,,37,,120,
07:30 - 07:44,89,,76,,165,
07:45 - 07:59,111,,60,,171,
08:00 - 08:14,133,,68,,201,
08:15 - 08:29,124,,69,,193,
08:30 - 08:44,86,845,82,625,168,1470
08:45 - 08:59,77,,107,,184,
09:00 - 09:14,59,897,43,868,102,1765
09:15 - 09:29,45,,47,,92,
09:30 - 09:44,46,,42,,88,
09:45 - 09:59,50,,48,,98,
10:00 - 10:29,81,,67,,148,
10:30 - 10:59,86,,61,,147,
11:00 - 11:29,69,,54,,123,
11:30 - 11:59,48,,44,,92,
12:00 - 12:29,78,,52,,130,
12:30 - 12:59,43,,65,,108,
13:00 - 13:29,57,,76,,133,
13:30 - 13:59,72,,71,,143,
14:00 - 14:29,74,,97,,171,
14:30 - 14:59,89,,101,,190,
15:00 - 15:14,49,,46,,95,
15:15 - 15:29,60,,52,,112,
15:30 - 15:44,59,,55,,114,
15:45 - 15:59,63,,61,,124,
16:00 - 16:14,86,,56,,142,
16:15 - 16:29,74,,50,,124,
16:30 - 16:44,81,,76,,157,
16:45 - 16:59,62,,64,,126,
17:00 - 17:14,74,,82,,156,
17:15 - 17:29,72,,69,,141,
17:30 - 17:44,62,,88,,150,
17:45 - 17:59,67,,99,,166,
18:00 - 18:14,50,,102,,152,
18:15 - 18:29,34,,78,,112,
18:30 - 18:44,43,961,74,1100,117,2061
18:45 - 18:59,25,,48,,73,
19:00 - 19:29,32,209,64,240,96,449
19:30 - 19:59,37,,47,,84,
20:00 - 20:29,32,,39,,71,
20:30 - 20:59,30,,31,,61,
21:00 - 21:29,36,,30,,66,
21:30 - 21:59,42,,29,,71,
22:00 - 22:29,29,77,44,167,73,244
22:30 - 22:59,20,,38,,58,
23:00 - 23:29,10,,27,,37,
23:30 - 23:59,9,,24,,33,
24:00 - 24:29,5,,15,,20,
24:30 - 24:59,3,,11,,14,
25:00 - 25:29,1,,8,,9,
,,,,,,
