06:00 - 06:14,37,,2,,39,
06:15 - 06:29,72,,1,,73,
06:30 - 06:44,41,,2,,43,
06:45 - 06:59,100,,8,,108,
07:00 - 07:14,119,,4,,123,
07:15 - 07:29,153,,2,,155,
07:30 - 07:44,228,,7,,235,
07:45 - 07:59,201,,8,,209,
08:00 - 08:14,164,,17,,181,
08:15 - 08:29,141,1465,12,98,153,1563
08:30 - 08:44,112,,21,,133,
08:45 - 08:59,97,,14,,111,
09:00 - 09:14,51,585,28,271,79,856
09:15 - 09:29,61,,23,,84,
09:30 - 09:44,30,,27,,57,
09:45 - 09:59,26,,14,,40,
10:00 - 10:29,40,,15,,55,
10:30 - 10:59,39,,16,,55,
11:00 - 11:29,38,,17,,55,
11:30 - 11:59,44,,28,,72,
12:00 - 12:29,37,,10,,47,
12:30 - 12:59,43,,21,,64,
13:00 - 13:29,29,,8,,37,
13:30 - 13:59,49,,21,,70,
14:00 - 14:29,46,,24,,70,
14:30 - 14:59,52,,19,,71,
15:00 - 15:14,19,,13,,32,
15:15 - 15:29,26,,13,,39,
15:30 - 15:44,25,,16,,41,
15:45 - 15:59,28,,14,,42,
16:00 - 16:14,32,,23,,55,
16:15 - 16:29,40,,19,,59,
16:30 - 16:44,37,,35,,72,
16:45 - 16:59,34,,49,,83,
17:00 - 17:14,53,,54,,107,
17:15 - 17:29,33,,38,,71,
17:30 - 17:44,19,,34,,53,
17:45 - 17:59,33,,75,,108,
18:00 - 18:14,26,,67,,93,
18:15 - 18:29,19,,58,,77,
18:30 - 18:44,11,,50,,61,
18:45 - 18:59,8,443,38,596,46,1039
19:00 - 19:29,12,55,57,237,69,292
19:30 - 19:59,11,,51,,62,
20:00 - 20:29,9,,43,,52,
20:30 - 20:59,9,,35,,44,
21:00 - 21:29,8,,29,,37,
21:30 - 21:59,6,,22,,28,
22:00 - 22:29,7,24,18,87,25,111
22:30 - 22:59,5,,16,,21,
23:00 - 23:29,6,,15,,21,
23:30 - 23:59,3,,13,,16,
24:00 - 24:29,2,,11,,13,
24:30 - 24:59,1,,8,,9,
25:00 - 25:29,0,,6,,6,
,,,,,,
