06:00 - 06:14,10,,4,,14,
06:15 - 06:29,6,,5,,11,
06:30 - 06:44,19,,6,,25,
06:45 - 06:59,19,,10,,29,
07:00 - 07:14,48,,14,,62,
07:15 - 07:29,45,,13,,58,
07:30 - 07:44,42,,15,,57,
07:45 - 07:59,44,,19,,63,
08:00 - 08:14,79,,12,,91,
08:15 - 08:29,56,,37,,93,
08:30 - 08:44,32,433,41,199,73,632
08:45 - 08:59,33,,23,,56,
09:00 - 09:14,31,364,22,260,53,624
09:15 - 09:29,26,,13,,39,
09:30 - 09:44,26,,14,,40,
09:45 - 09:59,13,,8,,21,
10:00 - 10:29,21,,16,,37,
10:30 - 10:59,24,,20,,44,
11:00 - 11:29,13,,12,,25,
11:30 - 11:59,27,,16,,43,
12:00 - 12:29,39,,22,,61,
12:30 - 12:59,38,,26,,64,
13:00 - 13:29,24,,19,,43,
13:30 - 13:59,27,,18,,45,
14:00 - 14:29,30,,20,,50,
14:30 - 14:59,25,,34,,59,
15:00 - 15:14,19,,5,,24,
15:15 - 15:29,33,,17,,50,
15:30 - 15:44,28,,16,,44,
15:45 - 15:59,16,,20,,36,
16:00 - 16:14,29,,22,,51,
16:15 - 16:29,46,,15,,61,
16:30 - 16:44,24,,21,,45,
16:45 - 16:59,31,,38,,69,
17:00 - 17:14,36,,21,,57,
17:15 - 17:29,29,,24,,53,
17:30 - 17:44,24,,32,,56,
17:45 - 17:59,19,,26,,45,
18:00 - 18:14,23,,71,,94,
18:15 - 18:29,22,,44,,66,
18:30 - 18:44,18,,37,,55,
18:45 - 18:59,17,414,23,432,40,846
19:00 - 19:29,29,94,26,161,55,255
19:30 - 19:59,14,,27,,41,
20:00 - 20:29,16,,46,,62,
20:30 - 20:59,11,,20,,31,
21:00 - 21:29,12,,21,,33,
21:30 - 21:59,12,,21,,33,
22:00 - 22:29,9,33,23,48,32,81
22:30 - 22:59,3,,10,,13,
23:00 - 23:29,8,,6,,14,
23:30 - 23:59,5,,2,,7,
24:00 - 24:29,3,,3,,6,
24:30 - 24:59,4,,3,,7,
25:00 - 25:29,1,,1,,2,
,,,,,,
