06:00 - 06:14,15,,22,,37,
06:15 - 06:29,10,,40,,50,
06:30 - 06:44,16,,63,,79,
06:45 - 06:59,9,,38,,47,
07:00 - 07:14,17,,39,,56,
07:15 - 07:29,22,,44,,66,
07:30 - 07:44,34,,81,,115,
07:45 - 07:59,38,,106,,144,
08:00 - 08:14,49,,267,,316,
08:15 - 08:29,54,435,308,1666,362,2101
08:30 - 08:44,81,,347,,428,
08:45 - 08:59,90,,311,,401,
09:00 - 09:14,75,,287,,362,
09:15 - 09:29,37,1806,206,2959,243,4765
09:30 - 09:44,39,,200,,239,
09:45 - 09:59,36,,168,,204,
10:00 - 10:29,61,,217,,278,
10:30 - 10:59,81,,227,,308,
11:00 - 11:29,100,,237,,337,
11:30 - 11:59,155,,269,,424,
12:00 - 12:29,164,,252,,416,
12:30 - 12:59,220,,211,,431,
13:00 - 13:29,227,,225,,452,
13:30 - 13:59,186,,218,,404,
14:00 - 14:29,147,,109,,256,
14:30 - 14:59,278,,133,,411,
15:00 - 15:14,108,,64,,172,
15:15 - 15:29,106,,52,,158,
15:30 - 15:44,110,,56,,166,
15:45 - 15:59,133,,73,,206,
16:00 - 16:14,197,,68,,265,
16:15 - 16:29,141,,85,,226,
16:30 - 16:44,145,,62,,207,
16:45 - 16:59,167,,108,,275,
17:00 - 17:14,242,,84,,326,
17:15 - 17:29,189,,97,,286,
17:30 - 17:44,191,,86,,277,
17:45 - 17:59,148,2334,130,1327,278,3661
18:00 - 18:14,154,,95,,249,
18:15 - 18:29,142,,89,,231,
18:30 - 18:44,85,,97,,182,
18:45 - 18:59,76,,81,,157,
19:00 - 19:29,130,561,94,382,224,943
19:30 - 19:59,117,,76,,193,
20:00 - 20:29,93,,63,,156,
20:30 - 20:59,80,,57,,137,
21:00 - 21:29,74,,50,,124,
21:30 - 21:59,67,,42,,109,
22:00 - 22:29,50,227,26,139,76,366
22:30 - 22:59,65,,37,,102,
23:00 - 23:29,29,,24,,53,
23:30 - 23:59,25,,18,,43,
24:00 - 24:29,22,,14,,36,
24:30 - 24:59,19,,11,,30,
25:00 - 25:29,17,,9,,26,
,,,,,,
