06:00  -  06:14,39,,15,,54,
06:15  -  06:29,50,,22,,72,
06:30  -  06:44,63,,56,,119,
06:45  -  06:59,88,,55,,143,
07:00  -  07:14,148,,56,,204,
07:15  -  07:29,216,,112,,328,
07:30  -  07:44,265,,160,,425,
07:45  -  07:59,354,,194,,548,
08:00  -  08:14,400,,238,,638,
08:15  -  08:29,474,2840,387,2224,861,5064
08:30  -  08:44,413,,495,,908,
08:45  -  08:59,330,,434,,764,
09:00  -  09:14,301,,327,,628,
09:15  -  09:29,227,3615,228,3246,455,6861
09:30  -  09:44,178,,193,,371,
09:45  -  09:59,145,,103,,248,
10:00  -  10:29,232,,181,,413,
10:30  -  10:59,234,,176,,410,
11:00  -  11:29,239,,186,,425,
11:30  -  11:59,303,,220,,523,
12:00  -  12:29,300,,250,,550,
12:30  -  12:59,372,,294,,666,
13:00  -  13:29,307,,252,,559,
13:30  -  13:59,258,,258,,516,
14:00  -  14:29,286,,216,,502,
14:30  -  14:59,233,,362,,595,
15:00  -  15:14,192,,179,,371,
15:15  -  15:29,183,,202,,385,
15:30  -  15:44,264,,170,,434,
15:45  -  15:59,385,,249,,634,
16:00  -  16:14,296,,194,,490,
16:15  -  16:29,315,,307,,622,
16:30  -  16:44,336,,320,,656,
16:45  -  16:59,279,,325,,604,
17:00  -  17:14,395,,340,,735,
17:15  -  17:29,295,,362,,657,
17:30  -  17:44,285,,296,,581,
17:45  -  17:59,307,,325,,632,
18:00  -  18:14,302,,408,,710,
18:15  -  18:29,224,4435,346,4601,570,9036
18:30  -  18:44,198,,283,,481,
18:45  -  18:59,179,,295,,474,
19:00  -  19:29,276,1290,466,1779,742,3069
19:30  -  19:59,239,,374,,613,
20:00  -  20:29,200,,284,,484,
20:30  -  20:59,217,,240,,457,
21:00  -  21:29,199,,222,,421,
21:30  -  21:59,159,,193,,352,
22:00  -  22:29,147,609,169,745,316,1354
22:30  -  22:59,135,,171,,306,
23:00  -  23:29,119,,135,,254,
23:30  -  23:59,79,,108,,187,
24:00  -  24:29,65,,78,,143,
24:30  -  24:59,41,,50,,91,
25:00  -  25:29,23,,34,,57,
,,,,,,
