06:00  -  06:14,69,,44,,113,
06:15  -  06:29,83,,72,,155,
06:30  -  06:44,112,,64,,176,
06:45  -  06:59,122,,96,,218,
07:00  -  07:14,163,,104,,267,
07:15  -  07:29,239,,123,,362,
07:30  -  07:44,259,,191,,450,
07:45  -  07:59,326,,244,,570,
08:00  -  08:14,269,,137,,406,
08:15  -  08:29,338,2637,296,1894,634,4531
08:30  -  08:44,326,,269,,595,
08:45  -  08:59,331,,254,,585,
09:00  -  09:14,274,,239,,513,
09:15  -  09:29,301,4030,173,3616,474,7646
09:30  -  09:44,260,,224,,484,
09:45  -  09:59,225,,151,,376,
10:00  -  10:29,317,,246,,563,
10:30  -  10:59,281,,220,,501,
11:00  -  11:29,243,,197,,440,
11:30  -  11:59,303,,248,,551,
12:00  -  12:29,266,,265,,531,
12:30  -  12:59,256,,336,,592,
13:00  -  13:29,301,,299,,600,
13:30  -  13:59,295,,342,,637,
14:00  -  14:29,324,,323,,647,
14:30  -  14:59,384,,353,,737,
15:00  -  15:14,199,,320,,519,
15:15  -  15:29,230,,321,,551,
15:30  -  15:44,257,,342,,599,
15:45  -  15:59,230,,337,,567,
16:00  -  16:14,233,,225,,458,
16:15  -  16:29,276,,343,,619,
16:30  -  16:44,278,,385,,663,
16:45  -  16:59,308,,297,,605,
17:00  -  17:14,256,,455,,711,
17:15  -  17:29,330,,455,,785,
17:30  -  17:44,373,,425,,798,
17:45  -  17:59,280,,383,,663,
18:00  -  18:14,249,4159,319,5305,568,9464
18:15  -  18:29,234,,264,,498,
18:30  -  18:44,222,,231,,453,
18:45  -  18:59,204,,203,,407,
19:00  -  19:29,294,1504,371,1812,665,3316
19:30  -  19:59,266,,340,,606,
20:00  -  20:29,256,,320,,576,
20:30  -  20:59,244,,282,,526,
21:00  -  21:29,229,,258,,487,
21:30  -  21:59,215,,241,,456,
22:00  -  22:29,190,896,221,1226,411,2122
22:30  -  22:59,161,,231,,392,
23:00  -  23:29,134,,207,,341,
23:30  -  23:59,119,,176,,295,
24:00  -  24:29,106,,157,,263,
24:30  -  24:59,98,,137,,235,
25:00  -  25:29,88,,97,,185,
,,,,,,
