# source: http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=c077c316f16e8410VgnVCM10000071d60f89RCRD
# 2015 Subway/Scarborough RT Typical Business Day Platform Usage (sorted in descending order of to & from subway/RT platform volumes)
# Rank,Subway/RT Station,To Trains,From Trains,Totals,,
1,"Bloor (YU)",103975,112214,216189,,
2,"Yonge (BD)",95407,87831,183238,,
3,"St. George (YU)",63367,72836,136203,,
4,"St. George (BD)",64125,64851,128976,,
5,Union,58259,60187,118446,,
6,Finch,47895,52924,100819,,
7,Dundas,37296,44038,81334,,
8,"Sheppard-Yonge (YU)",37592,39227,76819,,
9,Eglinton,33116,39630,72746,,
10,"Kennedy (BD)",34663,35125,69788,,
11,St. Andrew,26454,29662,56116,,
12,King,23814,31995,55809,,
13,Kipling,26555,26370,52925,,
14,Queen's Park,22382,25688,48070,,
15,Queen,23747,24261,48008,,
16,College,21915,25877,47792,,
17,Sheppard-Yonge (line 4),23295,22451,45746,, 
18,Downsview,19664,18006,37670,,
19,Islington,16383,21029,37412,,
20,Bathurst,16329,20132,36461,,
21,St. Clair,17501,18823,36324,,
22,Kennedy (line 3),17969,17821,35790,,
23,Don Mills,15497,18259,33756,,
24,Broadview,16916,16542,33458,,
25,"Spadina (BD)",15859,17347,33206,,
26,Ossington,14374,17240,31614,,
27,Bay,15653,15205,30858,,
28,St. Patrick,15425,14826,30251,,
29,Dufferin,13994,15943,29937,,
30,Warden,12007,17732,29739,,
31,Dundas West,14223,15394,29617,,
32,Pape,13024,15686,28710,,
33,Victoria Park,12305,16309,28614,,
34,York Mills,14318,13827,28145,,
35,St. Clair West,13872,14237,28109,,
36,Sherbourne,12165,13563,25728,,
37,Davisville,12414,12914,25328,,
38,Scarborough Centre,10979,13649,24628,,
39,Lawrence,12358,12197,24555,,
40,North York Centre,12062,12162,24224,,
41,Main Street,12546,11587,24133,,
42,Wellesley,10451,12685,23136,,
43,Wilson,10230,12582,22812,,
44,Osgoode,11060,11428,22488,,
45,Royal York,9801,10428,20229,,
46,Lawrence West,9629,10325,19954,,
47,Jane,10232,9589,19821,,
48,Yorkdale,9786,9365,19151,,
49,Lansdowne,9859,9394,19253,,
50,Runnymede,8599,8436,17035,,
51,Eglinton West,7108,9718,16826,,
52,Dupont,8481,7660,16141,,
53,Coxwell,6700,8560,15260,,
54,Keele,8159,7082,15241,,
55,Woodbine,6702,7682,14384,,
56,"Spadina (YU)",7085,6708,13793,,
57,Christie,5382,6637,12019,,
58,Donlands,5822,5681,11503,,
59,High Park,5133,5254,10387,,
60,Greenwood,4335,4701,9036,,
61,Bayview,4528,4465,8993,,
62,Castle Frank,4217,4129,8346,,
63,Lawrence East,4326,3807,8133,,
64,Museum ,3688,4414,8102,,
65,Chester,3573,4124,7697,,
66,Old Mill,3271,3353,6624,,
67,Leslie,3136,3468,6604,,
68,Rosedale,2870,3114,5984,,
69,Summerhill,2986,2794,5780,,
70,Glencairn,3069,2646,5715,,
71,McCowan,2857,1759,4616,,
72,Bessarion,1384,1661,3045,,
73,Midland,1358,1054,2412,,
74,Ellesmere,865,697,1562,,
