06:00  -  06:14,4,,13,,17,
06:15  -  06:29,8,,12,,20,
06:30  -  06:44,37,,27,,64,
06:45  -  06:59,30,,45,,75,
07:00  -  07:14,23,,26,,49,
07:15  -  07:29,39,,39,,78,
07:30  -  07:44,63,,74,,137,
07:45  -  07:59,56,,94,,150,
08:00  -  08:14,95,,107,,202,
08:15  -  08:29,109,718,176,1057,285,1775
08:30  -  08:44,148,,250,,398,
08:45  -  08:59,106,,194,,300,
09:00  -  09:14,52,,122,,174,
09:15  -  09:29,60,1124,89,1238,149,2362
09:30  -  09:44,48,,68,,116,
09:45  -  09:59,54,,67,,121,
10:00  -  10:29,61,,91,,152,
10:30  -  10:59,63,,80,,143,
11:00  -  11:29,58,,64,,122,
11:30  -  11:59,92,,90,,182,
12:00  -  12:29,96,,114,,210,
12:30  -  12:59,68,,106,,174,
13:00  -  13:29,104,,69,,173,
13:30  -  13:59,154,,100,,254,
14:00  -  14:29,119,,78,,197,
14:30  -  14:59,95,,100,,195,
15:00  -  15:14,49,,49,,98,
15:15  -  15:29,53,,47,,100,
15:30  -  15:44,59,,73,,132,
15:45  -  15:59,66,,74,,140,
16:00  -  16:14,90,,74,,164,
16:15  -  16:29,96,,71,,167,
16:30  -  16:44,118,,64,,182,
16:45  -  16:59,110,,59,,169,
17:00  -  17:14,114,,69,,183,
17:15  -  17:29,105,,96,,201,
17:30  -  17:44,107,1435,75,1166,182,2601
17:45  -  17:59,95,,141,,236,
18:00  -  18:14,108,,89,,197,
18:15  -  18:29,102,,63,,165,
18:30  -  18:44,93,,53,,146,
18:45  -  18:59,70,,69,,139,
19:00  -  19:29,54,331,74,404,128,735
19:30  -  19:59,75,,79,,154,
20:00  -  20:29,49,,61,,110,
20:30  -  20:59,55,,71,,126,
21:00  -  21:29,51,,64,,115,
21:30  -  21:59,47,,55,,102,
22:00  -  22:29,36,130,58,163,94,293
22:30  -  22:59,28,,48,,76,
23:00  -  23:29,25,,23,,48,
23:30  -  23:59,17,,17,,34,
24:00  -  24:29,13,,12,,25,
24:30  -  24:59,7,,2,,9,
25:00  -  25:29,4,,3,,7,
,,,,,,
