06:00  -  06:14,54,,23,,77,
06:15  -  06:29,125,,72,,197,
06:30  -  06:44,133,,58,,191,
06:45  -  06:59,150,,50,,200,
07:00  -  07:14,282,,81,,363,
07:15  -  07:29,334,,110,,444,
07:30  -  07:44,436,,144,,580,
07:45  -  07:59,374,,170,,544,
08:00  -  08:14,476,,177,,653,
08:15  -  08:29,399,,1212,,1611,
08:30  -  08:44,270,,146,,416,
08:45  -  08:59,253,3286,126,2369,379,5655
09:00  -  09:14,242,3902,105,2730,347,6632
09:15  -  09:29,247,,128,,375,
09:30  -  09:44,219,,123,,342,
09:45  -  09:59,157,,87,,244,
10:00  -  10:29,291,,131,,422,
10:30  -  10:59,315,,148,,463,
11:00  -  11:29,334,,159,,493,
11:30  -  11:59,338,,193,,531,
12:00  -  12:29,353,,191,,544,
12:30  -  12:59,316,,238,,554,
13:00  -  13:29,290,,237,,527,
13:30  -  13:59,266,,279,,545,
14:00  -  14:29,262,,427,,689,
14:30  -  14:59,272,,284,,556,
15:00  -  15:14,291,,232,,523,
15:15  -  15:29,208,,167,,375,
15:30  -  15:44,121,,239,,360,
15:45  -  15:59,151,,192,,343,
16:00  -  16:14,146,,239,,385,
16:15  -  16:29,184,,284,,468,
16:30  -  16:44,192,,350,,542,
16:45  -  16:59,194,,336,,530,
17:00  -  17:14,221,,213,,434,
17:15  -  17:29,174,,339,,513,
17:30  -  17:44,174,,257,,431,
17:45  -  17:59,140,,607,,747,
18:00  -  18:14,125,,566,,691,
18:15  -  18:29,129,2633,280,4782,409,7415
18:30  -  18:44,103,,256,,359,
18:45  -  18:59,80,,225,,305,
19:00  -  19:29,114,645,250,1226,364,1871
19:30  -  19:59,124,,237,,361,
20:00  -  20:29,135,,233,,368,
20:30  -  20:59,114,,193,,307,
21:00  -  21:29,88,,147,,235,
21:30  -  21:59,70,,166,,236,
22:00  -  22:29,93,369,128,861,221,1230
22:30  -  22:59,66,,214,,280,
23:00  -  23:29,82,,163,,245,
23:30  -  23:59,65,,127,,192,
24:00  -  24:29,29,,118,,147,
24:30  -  24:59,21,,72,,93,
25:00  -  25:29,13,,39,,52,
,,,,,,
