06:00  -  06:14,87,,36,,123,
06:15  -  06:29,91,,35,,126,
06:30  -  06:44,162,,75,,237,
06:45  -  06:59,199,,72,,271,
07:00  -  07:14,229,,68,,297,
07:15  -  07:29,255,,109,,364,
07:30  -  07:44,299,,161,,460,
07:45  -  07:59,408,,203,,611,
08:00  -  08:14,420,,129,,549,
08:15  -  08:29,234,2739,137,1323,371,4062
08:30  -  08:44,212,,169,,381,
08:45  -  08:59,143,,129,,272,
09:00  -  09:14,153,3023,98,3077,251,6100
09:15  -  09:29,151,,141,,292,
09:30  -  09:44,148,,93,,241,
09:45  -  09:59,110,,136,,246,
10:00  -  10:29,195,,189,,384,
10:30  -  10:59,226,,196,,422,
11:00  -  11:29,220,,257,,477,
11:30  -  11:59,232,,226,,458,
12:00  -  12:29,229,,220,,449,
12:30  -  12:59,284,,352,,636,
13:00  -  13:29,219,,324,,543,
13:30  -  13:59,240,,238,,478,
14:00  -  14:29,289,,275,,564,
14:30  -  14:59,327,,332,,659,
15:00  -  15:14,151,,142,,293,
15:15  -  15:29,147,,321,,468,
15:30  -  15:44,168,,365,,533,
15:45  -  15:59,185,,357,,542,
16:00  -  16:14,182,,402,,584,
16:15  -  16:29,212,,341,,553,
16:30  -  16:44,230,,395,,625,
16:45  -  16:59,167,,447,,614,
17:00  -  17:14,233,,416,,649,
17:15  -  17:29,214,,451,,665,
17:30  -  17:44,188,,468,,656,
17:45  -  17:59,179,,519,,698,
18:00  -  18:14,134,,529,,663,
18:15  -  18:29,125,,539,,664,
18:30  -  18:44,119,2751,418,6439,537,9190
18:45  -  18:59,117,,329,,446,
19:00  -  19:29,216,1044,385,1531,601,2575
19:30  -  19:59,194,,335,,529,
20:00  -  20:29,183,,243,,426,
20:30  -  20:59,160,,204,,364,
21:00  -  21:29,151,,190,,341,
21:30  -  21:59,140,,174,,314,
22:00  -  22:29,105,500,154,626,259,1126
22:30  -  22:59,93,,176,,269,
23:00  -  23:29,77,,107,,184,
23:30  -  23:59,67,,78,,145,
24:00  -  24:29,59,,56,,115,
24:30  -  24:59,56,,32,,88,
25:00  -  25:29,43,,23,,66,
,,,,,,
