06:00  -  06:14,170,,1,,171,
06:15  -  06:29,184,,15,,199,
06:30  -  06:44,235,,200,,435,
06:45  -  06:59,344,,140,,484,
07:00  -  07:14,502,,183,,685,
07:15  -  07:29,612,,211,,823,
07:30  -  07:44,613,,360,,973,
07:45  -  07:59,663,,369,,1032,
08:00  -  08:14,760,,442,,1202,
08:15  -  08:29,741,,328,,1069,
08:30  -  08:44,654,,268,,922,
08:45  -  08:59,548,6026,278,2795,826,8821
09:00  -  09:14,420,6502,283,5041,703,11543
09:15  -  09:29,468,,354,,822,
09:30  -  09:44,219,,222,,441,
09:45  -  09:59,341,,312,,653,
10:00  -  10:29,549,,388,,937,
10:30  -  10:59,522,,343,,865,
11:00  -  11:29,513,,361,,874,
11:30  -  11:59,535,,414,,949,
12:00  -  12:29,447,,296,,743,
12:30  -  12:59,503,,360,,863,
13:00  -  13:29,361,,324,,685,
13:30  -  13:59,503,,480,,983,
14:00  -  14:29,506,,417,,923,
14:30  -  14:59,615,,487,,1102,
15:00  -  15:14,296,,286,,582,
15:15  -  15:29,272,,297,,569,
15:30  -  15:44,339,,321,,660,
15:45  -  15:59,303,,439,,742,
16:00  -  16:14,426,,294,,720,
16:15  -  16:29,474,,366,,840,
16:30  -  16:44,464,,479,,943,
16:45  -  16:59,427,,424,,851,
17:00  -  17:14,536,,452,,988,
17:15  -  17:29,464,,649,,1113,
17:30  -  17:44,460,,692,,1152,
17:45  -  17:59,580,,591,,1171,
18:00  -  18:14,468,,511,,979,
18:15  -  18:29,419,6684,523,7195,942,13879
18:30  -  18:44,390,,475,,865,
18:45  -  18:59,366,,396,,762,
19:00  -  19:29,374,1685,672,3362,1046,5047
19:30  -  19:59,359,,618,,977,
20:00  -  20:29,340,,559,,899,
20:30  -  20:59,150,,494,,644,
21:00  -  21:29,216,,505,,721,
21:30  -  21:59,246,,514,,760,
22:00  -  22:29,204,658,442,1651,646,2309
22:30  -  22:59,134,,331,,465,
23:00  -  23:29,117,,321,,438,
23:30  -  23:59,94,,237,,331,
24:00  -  24:29,55,,159,,214,
24:30  -  24:59,34,,107,,141,
25:00  -  25:29,20,,54,,74,
,,,,,,
