06:00  -  06:14,248,,62,,310,
06:15  -  06:29,340,,154,,494,
06:30  -  06:44,382,,201,,583,
06:45  -  06:59,493,,183,,676,
07:00  -  07:14,597,,264,,861,
07:15  -  07:29,855,,271,,1126,
07:30  -  07:44,1136,,528,,1664,
07:45  -  07:59,1265,,409,,1674,
08:00  -  08:14,1696,11842,738,4854,2434,16696
08:15  -  08:29,1746,,673,,2419,
08:30  -  08:44,1758,,763,,2521,
08:45  -  08:59,1326,,608,,1934,
09:00  -  09:14,1048,12258,571,8981,1619,21239
09:15  -  09:29,891,,496,,1387,
09:30  -  09:44,710,,467,,1177,
09:45  -  09:59,618,,370,,988,
10:00  -  10:29,952,,691,,1643,
10:30  -  10:59,833,,729,,1562,
11:00  -  11:29,768,,611,,1379,
11:30  -  11:59,883,,605,,1488,
12:00  -  12:29,828,,619,,1447,
12:30  -  12:59,799,,621,,1420,
13:00  -  13:29,832,,634,,1466,
13:30  -  13:59,845,,658,,1503,
14:00  -  14:29,1158,,893,,2051,
14:30  -  14:59,1093,,1016,,2109,
15:00  -  15:14,575,,671,,1246,
15:15  -  15:29,627,,725,,1352,
15:30  -  15:44,532,,659,,1191,
15:45  -  15:59,739,,861,,1600,
16:00  -  16:14,724,,757,,1481,
16:15  -  16:29,760,,833,,1593,
16:30  -  16:44,765,,1062,,1827,
16:45  -  16:59,767,,1113,,1880,
17:00  -  17:14,931,,1075,,2006,
17:15  -  17:29,868,,1489,,2357,
17:30  -  17:44,748,,1523,,2271,
17:45  -  17:59,672,,1288,,1960,
18:00  -  18:14,691,,1147,,1838,
18:15  -  18:29,614,11034,1170,16558,1784,27592
18:30  -  18:44,547,,1235,,1782,
18:45  -  18:59,474,,950,,1424,
19:00  -  19:29,759,3557,1326,6355,2085,9912
19:30  -  19:59,559,,1040,,1599,
20:00  -  20:29,551,,825,,1376,
20:30  -  20:59,446,,800,,1246,
21:00  -  21:29,646,,1190,,1836,
21:30  -  21:59,596,,1174,,1770,
22:00  -  22:29,361,1212,758,3064,1119,4276
22:30  -  22:59,264,,595,,859,
23:00  -  23:29,197,,510,,707,
23:30  -  23:59,151,,444,,595,
24:00  -  24:29,117,,357,,474,
24:30  -  24:59,77,,217,,294,
25:00  -  25:29,45,,183,,228,
,,,,,,
