06:00  -  06:14,22,,12,,34,
06:15  -  06:29,21,,32,,53,
06:30  -  06:44,33,,25,,58,
06:45  -  06:59,28,,27,,55,
07:00  -  07:14,37,,42,,79,
07:15  -  07:29,71,,53,,124,
07:30  -  07:44,96,,75,,171,
07:45  -  07:59,97,,84,,181,
08:00  -  08:14,127,1080,93,923,220,2003
08:15  -  08:29,175,,126,,301,
08:30  -  08:44,218,,194,,412,
08:45  -  08:59,155,,160,,315,
09:00  -  09:14,114,1515,113,1863,227,3378
09:15  -  09:29,94,,80,,174,
09:30  -  09:44,83,,105,,188,
09:45  -  09:59,65,,93,,158,
10:00  -  10:29,99,,151,,250,
10:30  -  10:59,77,,148,,225,
11:00  -  11:29,89,,124,,213,
11:30  -  11:59,106,,119,,225,
12:00  -  12:29,114,,151,,265,
12:30  -  12:59,124,,158,,282,
13:00  -  13:29,114,,172,,286,
13:30  -  13:59,125,,164,,289,
14:00  -  14:29,147,,150,,297,
14:30  -  14:59,164,,135,,299,
15:00  -  15:14,107,,112,,219,
15:15  -  15:29,111,,110,,221,
15:30  -  15:44,95,,117,,212,
15:45  -  15:59,101,,100,,201,
16:00  -  16:14,94,,106,,200,
16:15  -  16:29,126,,111,,237,
16:30  -  16:44,135,,137,,272,
16:45  -  16:59,125,,161,,286,
17:00  -  17:14,198,,198,,396,
17:15  -  17:29,166,,183,,349,
17:30  -  17:44,133,,156,,289,
17:45  -  17:59,146,,325,,471,
18:00  -  18:14,149,,269,,418,
18:15  -  18:29,234,,247,,481,
18:30  -  18:44,112,,171,,283,
18:45  -  18:59,98,2130,189,2692,287,4822
19:00  -  19:29,163,835,241,949,404,1784
19:30  -  19:59,176,,222,,398,
20:00  -  20:29,133,,136,,269,
20:30  -  20:59,124,,124,,248,
21:00  -  21:29,122,,117,,239,
21:30  -  21:59,117,,109,,226,
22:00  -  22:29,80,358,83,271,163,629
22:30  -  22:59,83,,56,,139,
23:00  -  23:29,84,,53,,137,
23:30  -  23:59,39,,34,,73,
24:00  -  24:29,33,,24,,57,
24:30  -  24:59,26,,12,,38,
25:00  -  25:29,13,,9,,22,
,,,,,,
