06:00  -  06:14,38,,157,,195,
06:15  -  06:29,51,,232,,283,
06:30  -  06:44,39,,123,,162,
06:45  -  06:59,71,,493,,564,
07:00  -  07:14,92,,468,,560,
07:15  -  07:29,118,,675,,793,
07:30  -  07:44,152,,796,,948,
07:45  -  07:59,232,,1188,,1420,
08:00  -  08:14,282,,1063,,1345,
08:15  -  08:29,311,1973,1843,11143,2154,13116
08:30  -  08:44,289,,2025,,2314,
08:45  -  08:59,298,,2080,,2378,
09:00  -  09:14,217,,2151,,2368,
09:15  -  09:29,195,5172,1540,11783,1735,16955
09:30  -  09:44,138,,1250,,1388,
09:45  -  09:59,139,,941,,1080,
10:00  -  10:29,232,,1290,,1522,
10:30  -  10:59,196,,947,,1143,
11:00  -  11:29,342,,617,,959,
11:30  -  11:59,362,,644,,1006,
12:00  -  12:29,490,,427,,917,
12:30  -  12:59,633,,424,,1057,
13:00  -  13:29,565,,302,,867,
13:30  -  13:59,559,,445,,1004,
14:00  -  14:29,549,,372,,921,
14:30  -  14:59,555,,433,,988,
15:00  -  15:14,372,,175,,547,
15:15  -  15:29,391,,225,,616,
15:30  -  15:44,476,,210,,686,
15:45  -  15:59,516,,209,,725,
16:00  -  16:14,967,,234,,1201,
16:15  -  16:29,941,,247,,1188,
16:30  -  16:44,1432,,270,,1702,
16:45  -  16:59,1540,,370,,1910,
17:00  -  17:14,2026,,466,,2492,
17:15  -  17:29,2005,,517,,2522,
17:30  -  17:44,1564,,357,,1921,
17:45  -  17:59,1389,17354,471,4857,1860,22211
18:00  -  18:14,1305,,358,,1663,
18:15  -  18:29,1035,,318,,1353,
18:30  -  18:44,853,,229,,1082,
18:45  -  18:59,542,,201,,743,
19:00  -  19:29,672,2653,259,1146,931,3799
19:30  -  19:59,508,,229,,737,
20:00  -  20:29,377,,203,,580,
20:30  -  20:59,425,,202,,627,
21:00  -  21:29,385,,141,,526,
21:30  -  21:59,286,,112,,398,
22:00  -  22:29,257,1103,87,293,344,1396
22:30  -  22:59,246,,65,,311,
23:00  -  23:29,244,,45,,289,
23:30  -  23:59,152,,53,,205,
24:00  -  24:29,108,,21,,129,
24:30  -  24:59,65,,14,,79,
25:00  -  25:29,31,,8,,39,
,,,,,,
