06:00  -  06:14,78,,22,,100,
06:15  -  06:29,110,,47,,157,
06:30  -  06:44,169,,79,,248,
06:45  -  06:59,160,,64,,224,
07:00  -  07:14,201,,88,,289,
07:15  -  07:29,313,,132,,445,
07:30  -  07:44,481,,135,,616,
07:45  -  07:59,534,,177,,711,
08:00  -  08:14,668,5031,277,1739,945,6770
08:15  -  08:29,786,,273,,1059,
08:30  -  08:44,895,,255,,1150,
08:45  -  08:59,636,,190,,826,
09:00  -  09:14,571,4423,205,2786,776,7209
09:15  -  09:29,378,,113,,491,
09:30  -  09:44,326,,96,,422,
09:45  -  09:59,212,,99,,311,
10:00  -  10:29,302,,145,,447,
10:30  -  10:59,325,,168,,493,
11:00  -  11:29,281,,169,,450,
11:30  -  11:59,366,,220,,586,
12:00  -  12:29,279,,235,,514,
12:30  -  12:59,267,,216,,483,
13:00  -  13:29,265,,228,,493,
13:30  -  13:59,257,,252,,509,
14:00  -  14:29,235,,283,,518,
14:30  -  14:59,359,,357,,716,
15:00  -  15:14,311,,216,,527,
15:15  -  15:29,191,,198,,389,
15:30  -  15:44,212,,250,,462,
15:45  -  15:59,196,,274,,470,
16:00  -  16:14,257,,269,,526,
16:15  -  16:29,241,,309,,550,
16:30  -  16:44,264,,333,,597,
16:45  -  16:59,227,,368,,595,
17:00  -  17:14,239,,511,,750,
17:15  -  17:29,282,,537,,819,
17:30  -  17:44,236,,526,,762,
17:45  -  17:59,184,,549,,733,
18:00  -  18:14,199,,596,,795,
18:15  -  18:29,198,3485,496,6153,694,9638
18:30  -  18:44,136,,393,,529,
18:45  -  18:59,112,,328,,440,
19:00  -  19:29,220,1040,527,2190,747,3230
19:30  -  19:59,195,,445,,640,
20:00  -  20:29,176,,381,,557,
20:30  -  20:59,163,,326,,489,
21:00  -  21:29,150,,280,,430,
21:30  -  21:59,136,,231,,367,
22:00  -  22:29,107,354,201,781,308,1135
22:30  -  22:59,76,,180,,256,
23:00  -  23:29,59,,149,,208,
23:30  -  23:59,45,,111,,156,
24:00  -  24:29,32,,69,,101,
24:30  -  24:59,22,,44,,66,
25:00  -  25:29,13,,27,,40,
,,,,,,
