06:00  -  06:14,132,,362,,494,
06:15  -  06:29,159,,575,,734,
06:30  -  06:44,205,,921,,1126,
06:45  -  06:59,250,,977,,1227,
07:00  -  07:14,293,,1214,,1507,
07:15  -  07:29,395,,1666,,2061,
07:30  -  07:44,507,,1992,,2499,
07:45  -  07:59,634,,2328,,2962,
08:00  -  08:14,703,5566,2698,21881,3401,27447
08:15  -  08:29,890,,2986,,3876,
08:30  -  08:44,746,,3316,,4062,
08:45  -  08:59,652,,2846,,3498,
09:00  -  09:14,552,10700,2087,21522,2639,32222
09:15  -  09:29,443,,1970,,2413,
09:30  -  09:44,464,,1774,,2238,
09:45  -  09:59,416,,1380,,1796,
10:00  -  10:29,611,,1828,,2439,
10:30  -  10:59,590,,1593,,2183,
11:00  -  11:29,654,,1356,,2010,
11:30  -  11:59,818,,1421,,2239,
12:00  -  12:29,926,,1386,,2312,
12:30  -  12:59,795,,1712,,2507,
13:00  -  13:29,971,,1357,,2328,
13:30  -  13:59,1017,,1271,,2288,
14:00  -  14:29,1120,,1092,,2212,
14:30  -  14:59,1323,,1295,,2618,
15:00  -  15:14,1130,,723,,1853,
15:15  -  15:29,1299,,667,,1966,
15:30  -  15:44,1291,,883,,2174,
15:45  -  15:59,1405,,669,,2074,
16:00  -  16:14,1730,,711,,2441,
16:15  -  16:29,2110,,754,,2864,
16:30  -  16:44,2213,,870,,3083,
16:45  -  16:59,2430,,723,,3153,
17:00  -  17:14,2757,,931,,3688,
17:15  -  17:29,3033,,1118,,4151,
17:30  -  17:44,2975,,1166,,4141,
17:45  -  17:59,2684,,961,,3645,
18:00  -  18:14,2219,32221,980,13843,3199,46064
18:15  -  18:29,1945,,1008,,2953,
18:30  -  18:44,1696,,857,,2553,
18:45  -  18:59,1304,,822,,2126,
19:00  -  19:29,1851,9042,1096,3785,2947,12827
19:30  -  19:59,1658,,847,,2505,
20:00  -  20:29,1427,,597,,2024,
20:30  -  20:59,1472,,489,,1961,
21:00  -  21:29,1369,,362,,1731,
21:30  -  21:59,1265,,394,,1659,
22:00  -  22:29,1720,5139,322,1477,2042,6616
22:30  -  22:59,1152,,389,,1541,
23:00  -  23:29,870,,285,,1155,
23:30  -  23:59,639,,191,,830,
24:00  -  24:29,381,,134,,515,
24:30  -  24:59,245,,100,,345,
25:00  -  25:29,132,,56,,188,
,,,,,,
