06:00  -  06:14,16,,56,,72,
06:15  -  06:29,18,,78,,96,
06:30  -  06:44,32,,135,,167,
06:45  -  06:59,40,,243,,283,
07:00  -  07:14,36,,269,,305,
07:15  -  07:29,64,,326,,390,
07:30  -  07:44,90,,573,,663,
07:45  -  07:59,62,,709,,771,
08:00  -  08:14,123,,869,,992,
08:15  -  08:29,121,871,1067,7043,1188,7914
08:30  -  08:44,125,,1351,,1476,
08:45  -  08:59,144,,1367,,1511,
09:00  -  09:14,112,,1264,,1376,
09:15  -  09:29,87,3745,754,7484,841,11229
09:30  -  09:44,79,,608,,687,
09:45  -  09:59,82,,438,,520,
10:00  -  10:29,208,,598,,806,
10:30  -  10:59,225,,513,,738,
11:00  -  11:29,220,,446,,666,
11:30  -  11:59,260,,519,,779,
12:00  -  12:29,323,,385,,708,
12:30  -  12:59,320,,412,,732,
13:00  -  13:29,287,,390,,677,
13:30  -  13:59,300,,458,,758,
14:00  -  14:29,497,,381,,878,
14:30  -  14:59,745,,318,,1063,
15:00  -  15:14,469,,135,,604,
15:15  -  15:29,319,,113,,432,
15:30  -  15:44,387,,129,,516,
15:45  -  15:59,457,,133,,590,
16:00  -  16:14,953,,144,,1097,
16:15  -  16:29,783,,148,,931,
16:30  -  16:44,935,,167,,1102,
16:45  -  16:59,933,,144,,1077,
17:00  -  17:14,998,,172,,1170,
17:15  -  17:29,968,,138,,1106,
17:30  -  17:44,697,9590,153,2284,850,11874
17:45  -  17:59,473,,130,,603,
18:00  -  18:14,366,,171,,537,
18:15  -  18:29,391,,166,,557,
18:30  -  18:44,257,,116,,373,
18:45  -  18:59,204,,125,,329,
19:00  -  19:29,340,1467,114,548,454,2015
19:30  -  19:59,312,,96,,408,
20:00  -  20:29,243,,96,,339,
20:30  -  20:59,205,,57,,262,
21:00  -  21:29,205,,109,,314,
21:30  -  21:59,162,,76,,238,
22:00  -  22:29,159,757,42,267,201,1024
22:30  -  22:59,159,,53,,212,
23:00  -  23:29,137,,47,,184,
23:30  -  23:59,105,,45,,150,
24:00  -  24:29,82,,35,,117,
24:30  -  24:59,63,,26,,89,
25:00  -  25:29,52,,19,,71,
,,,,,,
