06:00  -  06:14,5,,1,,6,
06:15  -  06:29,8,,9,,17,
06:30  -  06:44,20,,9,,29,
06:45  -  06:59,14,,21,,35,
07:00  -  07:14,15,,27,,42,
07:15  -  07:29,39,,30,,69,
07:30  -  07:44,54,,51,,105,
07:45  -  07:59,52,,83,,135,
08:00  -  08:14,70,,101,,171,
08:15  -  08:29,79,519,92,697,171,1216
08:30  -  08:44,83,,129,,212,
08:45  -  08:59,80,,144,,224,
09:00  -  09:14,63,,137,,200,
09:15  -  09:29,42,863,84,1075,126,1938
09:30  -  09:44,40,,80,,120,
09:45  -  09:59,29,,41,,70,
10:00  -  10:29,48,,94,,142,
10:30  -  10:59,43,,77,,120,
11:00  -  11:29,50,,42,,92,
11:30  -  11:59,76,,80,,156,
12:00  -  12:29,62,,69,,131,
12:30  -  12:59,90,,62,,152,
13:00  -  13:29,81,,66,,147,
13:30  -  13:59,119,,107,,226,
14:00  -  14:29,48,,65,,113,
14:30  -  14:59,72,,71,,143,
15:00  -  15:14,45,,35,,80,
15:15  -  15:29,32,,29,,61,
15:30  -  15:44,48,,52,,100,
15:45  -  15:59,56,,75,,131,
16:00  -  16:14,83,,42,,125,
16:15  -  16:29,57,,80,,137,
16:30  -  16:44,100,,54,,154,
16:45  -  16:59,68,,59,,127,
17:00  -  17:14,127,,89,,216,
17:15  -  17:29,127,,76,,203,
17:30  -  17:44,96,1012,91,921,187,1933
17:45  -  17:59,31,,62,,93,
18:00  -  18:14,20,,52,,72,
18:15  -  18:29,39,,47,,86,
18:30  -  18:44,43,,42,,85,
18:45  -  18:59,40,,36,,76,
19:00  -  19:29,78,306,62,198,140,504
19:30  -  19:59,67,,40,,107,
20:00  -  20:29,59,,33,,92,
20:30  -  20:59,52,,29,,81,
21:00  -  21:29,34,,21,,55,
21:30  -  21:59,16,,13,,29,
22:00  -  22:29,21,73,15,49,36,122
22:30  -  22:59,14,,9,,23,
23:00  -  23:29,11,,7,,18,
23:30  -  23:59,11,,7,,18,
24:00  -  24:29,8,,5,,13,
24:30  -  24:59,5,,5,,10,
25:00  -  25:29,3,,1,,4,
,,,,,,
