06:00  -  06:14,231,,175,,406,
06:15  -  06:29,177,,331,,508,
06:30  -  06:44,572,,445,,1017,
06:45  -  06:59,705,,502,,1207,
07:00  -  07:14,1125,,573,,1698,
07:15  -  07:29,1654,,673,,2327,
07:30  -  07:44,1853,,899,,2752,
07:45  -  07:59,2604,,1194,,3798,
08:00  -  08:14,3169,21480,1579,11427,4748,32907
08:15  -  08:29,2911,,1654,,4565,
08:30  -  08:44,3375,,1611,,4986,
08:45  -  08:59,3104,,1791,,4895,
09:00  -  09:14,2285,16340,1715,14113,4000,30453
09:15  -  09:29,1647,,1237,,2884,
09:30  -  09:44,1185,,1009,,2194,
09:45  -  09:59,1068,,769,,1837,
10:00  -  10:29,931,,784,,1715,
10:30  -  10:59,1051,,878,,1929,
11:00  -  11:29,919,,860,,1779,
11:30  -  11:59,1128,,927,,2055,
12:00  -  12:29,1094,,807,,1901,
12:30  -  12:59,941,,909,,1850,
13:00  -  13:29,875,,935,,1810,
13:30  -  13:59,1015,,992,,2007,
14:00  -  14:29,958,,1095,,2053,
14:30  -  14:59,1243,,1196,,2439,
15:00  -  15:14,759,,702,,1461,
15:15  -  15:29,882,,875,,1757,
15:30  -  15:44,695,,1122,,1817,
15:45  -  15:59,699,,1369,,2068,
16:00  -  16:14,995,,1559,,2554,
16:15  -  16:29,1144,,1777,,2921,
16:30  -  16:44,1380,,2320,,3700,
16:45  -  16:59,1468,,2392,,3860,
17:00  -  17:14,1867,,2486,,4353,
17:15  -  17:29,1999,,2633,,4632,
17:30  -  17:44,1726,18932,2188,26198,3914,45130
17:45  -  17:59,1428,,1661,,3089,
18:00  -  18:14,1324,,1438,,2762,
18:15  -  18:29,987,,1319,,2306,
18:30  -  18:44,859,,1207,,2066,
18:45  -  18:59,720,,1150,,1870,
19:00  -  19:29,1206,6728,1943,6838,3149,13566
19:30  -  19:59,1032,,1416,,2448,
20:00  -  20:29,908,,1106,,2014,
20:30  -  20:59,778,,877,,1655,
21:00  -  21:29,970,,749,,1719,
21:30  -  21:59,1834,,747,,2581,
22:00  -  22:29,1894,4401,678,2198,2572,6599
22:30  -  22:59,755,,501,,1256,
23:00  -  23:29,589,,360,,949,
23:30  -  23:59,433,,236,,669,
24:00  -  24:29,324,,182,,506,
24:30  -  24:59,241,,145,,386,
25:00  -  25:29,165,,96,,261,
,,,,,,
