06:00  -  06:14,131,,16,,147,
06:15  -  06:29,192,,43,,235,
06:30  -  06:44,234,,67,,301,
06:45  -  06:59,279,,59,,338,
07:00  -  07:14,425,,61,,486,
07:15  -  07:29,449,,103,,552,
07:30  -  07:44,505,,137,,642,
07:45  -  07:59,442,,163,,605,
08:00  -  08:14,575,,167,,742,
08:15  -  08:29,604,,142,,746,
08:30  -  08:44,581,,142,,723,
08:45  -  08:59,403,4820,149,1249,552,6069
09:00  -  09:14,396,4382,139,3008,535,7390
09:15  -  09:29,338,,136,,474,
09:30  -  09:44,257,,125,,382,
09:45  -  09:59,261,,141,,402,
10:00  -  10:29,319,,178,,497,
10:30  -  10:59,297,,150,,447,
11:00  -  11:29,290,,169,,459,
11:30  -  11:59,313,,144,,457,
12:00  -  12:29,275,,187,,462,
12:30  -  12:59,246,,258,,504,
13:00  -  13:29,254,,292,,546,
13:30  -  13:59,309,,327,,636,
14:00  -  14:29,370,,347,,717,
14:30  -  14:59,457,,415,,872,
15:00  -  15:14,306,,391,,697,
15:15  -  15:29,206,,456,,662,
15:30  -  15:44,140,,451,,591,
15:45  -  15:59,218,,467,,685,
16:00  -  16:14,200,,459,,659,
16:15  -  16:29,210,,469,,679,
16:30  -  16:44,195,,524,,719,
16:45  -  16:59,210,,398,,608,
17:00  -  17:14,229,,607,,836,
17:15  -  17:29,230,,638,,868,
17:30  -  17:44,176,,625,,801,
17:45  -  17:59,209,,587,,796,
18:00  -  18:14,179,3220,425,7699,604,10919
18:15  -  18:29,199,,390,,589,
18:30  -  18:44,173,,430,,603,
18:45  -  18:59,140,,382,,522,
19:00  -  19:29,229,1079,642,3001,871,4080
19:30  -  19:59,197,,505,,702,
20:00  -  20:29,178,,519,,697,
20:30  -  20:59,171,,472,,643,
21:00  -  21:29,156,,444,,600,
21:30  -  21:59,148,,419,,567,
22:00  -  22:29,131,443,365,1882,496,2325
22:30  -  22:59,101,,353,,454,
23:00  -  23:29,75,,322,,397,
23:30  -  23:59,46,,312,,358,
24:00  -  24:29,43,,221,,264,
24:30  -  24:59,30,,185,,215,
25:00  -  25:29,17,,124,,141,
,,,,,,
