06:00  -  06:14,135,,3,,138,
06:15  -  06:29,335,,89,,424,
06:30  -  06:44,236,,118,,354,
06:45  -  06:59,308,,76,,384,
07:00  -  07:14,565,,154,,719,
07:15  -  07:29,703,,167,,870,
07:30  -  07:44,676,,187,,863,
07:45  -  07:59,979,,173,,1152,
08:00  -  08:14,854,,173,,1027,
08:15  -  08:29,910,,152,,1062,
08:30  -  08:44,810,,96,,906,
08:45  -  08:59,808,7319,168,1556,976,8875
09:00  -  09:14,454,3924,99,2252,553,6176
09:15  -  09:29,427,,77,,504,
09:30  -  09:44,370,,90,,460,
09:45  -  09:59,334,,66,,400,
10:00  -  10:29,358,,101,,459,
10:30  -  10:59,318,,127,,445,
11:00  -  11:29,207,,74,,281,
11:30  -  11:59,177,,155,,332,
12:00  -  12:29,210,,184,,394,
12:30  -  12:59,216,,189,,405,
13:00  -  13:29,219,,203,,422,
13:30  -  13:59,205,,259,,464,
14:00  -  14:29,197,,220,,417,
14:30  -  14:59,232,,408,,640,
15:00  -  15:14,145,,272,,417,
15:15  -  15:29,194,,274,,468,
15:30  -  15:44,163,,288,,451,
15:45  -  15:59,247,,353,,600,
16:00  -  16:14,179,,376,,555,
16:15  -  16:29,232,,336,,568,
16:30  -  16:44,212,,488,,700,
16:45  -  16:59,237,,390,,627,
17:00  -  17:14,276,,478,,754,
17:15  -  17:29,337,,495,,832,
17:30  -  17:44,301,,797,,1098,
17:45  -  17:59,251,3502,311,5714,562,9216
18:00  -  18:14,240,,374,,614,
18:15  -  18:29,235,,297,,532,
18:30  -  18:44,143,,86,,229,
18:45  -  18:59,110,,99,,209,
19:00  -  19:29,163,604,169,801,332,1405
19:30  -  19:59,128,,162,,290,
20:00  -  20:29,88,,155,,243,
20:30  -  20:59,81,,127,,208,
21:00  -  21:29,75,,105,,180,
21:30  -  21:59,69,,83,,152,
22:00  -  22:29,64,256,62,381,126,637
22:30  -  22:59,65,,75,,140,
23:00  -  23:29,54,,73,,127,
23:30  -  23:59,31,,68,,99,
24:00  -  24:29,23,,51,,74,
24:30  -  24:59,13,,33,,46,
25:00  -  25:29,6,,19,,25,
,,,,,,
