06:00  -  06:14,78,,10,,88,
06:15  -  06:29,58,,38,,96,
06:30  -  06:44,54,,34,,88,
06:45  -  06:59,88,,38,,126,
07:00  -  07:14,143,,38,,181,
07:15  -  07:29,215,,63,,278,
07:30  -  07:44,272,,85,,357,
07:45  -  07:59,234,,69,,303,
08:00  -  08:14,417,,63,,480,
08:15  -  08:29,332,,87,,419,
08:30  -  08:44,390,,76,,466,
08:45  -  08:59,233,2514,69,670,302,3184
09:00  -  09:14,199,1928,63,1758,262,3686
09:15  -  09:29,160,,59,,219,
09:30  -  09:44,135,,52,,187,
09:45  -  09:59,67,,67,,134,
10:00  -  10:29,144,,95,,239,
10:30  -  10:59,136,,77,,213,
11:00  -  11:29,149,,108,,257,
11:30  -  11:59,168,,93,,261,
12:00  -  12:29,150,,168,,318,
12:30  -  12:59,131,,157,,288,
13:00  -  13:29,122,,113,,235,
13:30  -  13:59,119,,164,,283,
14:00  -  14:29,136,,221,,357,
14:30  -  14:59,112,,321,,433,
15:00  -  15:14,65,,233,,298,
15:15  -  15:29,94,,173,,267,
15:30  -  15:44,103,,183,,286,
15:45  -  15:59,105,,206,,311,
16:00  -  16:14,104,,250,,354,
16:15  -  16:29,93,,222,,315,
16:30  -  16:44,78,,227,,305,
16:45  -  16:59,105,,223,,328,
17:00  -  17:14,112,,229,,341,
17:15  -  17:29,138,,292,,430,
17:30  -  17:44,129,,323,,452,
17:45  -  17:59,147,,277,,424,
18:00  -  18:14,136,,257,,393,
18:15  -  18:29,129,1737,245,3723,374,5460
18:30  -  18:44,111,,201,,312,
18:45  -  18:59,88,,182,,270,
19:00  -  19:29,108,510,269,1196,377,1706
19:30  -  19:59,98,,225,,323,
20:00  -  20:29,88,,197,,285,
20:30  -  20:59,81,,177,,258,
21:00  -  21:29,71,,168,,239,
21:30  -  21:59,64,,160,,224,
22:00  -  22:29,52,175,152,753,204,928
22:30  -  22:59,39,,144,,183,
23:00  -  23:29,25,,126,,151,
23:30  -  23:59,20,,101,,121,
24:00  -  24:29,18,,83,,101,
24:30  -  24:59,11,,78,,89,
25:00  -  25:29,10,,69,,79,
,,,,,,
