06:00  -  06:14,265,,404,,669,
06:15  -  06:29,273,,681,,954,
06:30  -  06:44,281,,786,,1067,
06:45  -  06:59,268,,985,,1253,
07:00  -  07:14,402,,1343,,1745,
07:15  -  07:29,582,,2017,,2599,
07:30  -  07:44,778,,2739,,3517,
07:45  -  07:59,644,,3272,,3916,
08:00  -  08:14,814,,3333,,4147,
08:15  -  08:29,810,7151,3657,26321,4467,33472
08:30  -  08:44,1295,,3476,,4771,
08:45  -  08:59,739,,3628,,4367,
09:00  -  09:14,722,,3462,,4184,
09:15  -  09:29,633,19906,2564,35069,3197,54975
09:30  -  09:44,660,,2563,,3223,
09:45  -  09:59,548,,1799,,2347,
10:00  -  10:29,974,,2191,,3165,
10:30  -  10:59,1324,,2184,,3508,
11:00  -  11:29,1751,,2285,,4036,
11:30  -  11:59,1559,,2853,,4412,
12:00  -  12:29,1680,,2839,,4519,
12:30  -  12:59,1841,,2283,,4124,
13:00  -  13:29,1962,,2396,,4358,
13:30  -  13:59,2167,,2383,,4550,
14:00  -  14:29,2045,,2618,,4663,
14:30  -  14:59,2040,,2649,,4689,
15:00  -  15:14,2479,,1649,,4128,
15:15  -  15:29,2287,,1596,,3883,
15:30  -  15:44,2597,,1841,,4438,
15:45  -  15:59,2469,,1822,,4291,
16:00  -  16:14,2856,,1812,,4668,
16:15  -  16:29,3320,,1706,,5026,
16:30  -  16:44,3318,,1898,,5216,
16:45  -  16:59,3617,,1984,,5601,
17:00  -  17:14,3980,,1736,,5716,
17:15  -  17:29,4027,,1838,,5865,
17:30  -  17:44,4390,,1778,,6168,
17:45  -  17:59,2900,47021,1520,26775,4420,73796
18:00  -  18:14,2435,,1603,,4038,
18:15  -  18:29,2199,,1229,,3428,
18:30  -  18:44,2107,,1212,,3319,
18:45  -  18:59,2040,,1551,,3591,
19:00  -  19:29,3155,13449,1838,7215,4993,20664
19:30  -  19:59,2618,,1513,,4131,
20:00  -  20:29,2155,,1185,,3340,
20:30  -  20:59,1878,,1035,,2913,
21:00  -  21:29,1841,,928,,2769,
21:30  -  21:59,1802,,716,,2518,
22:00  -  22:29,1792,6672,566,2616,2358,9288
22:30  -  22:59,1337,,561,,1898,
23:00  -  23:29,1135,,438,,1573,
23:30  -  23:59,825,,325,,1150,
24:00  -  24:29,690,,273,,963,
24:30  -  24:59,505,,248,,753,
25:00  -  25:29,388,,205,,593,
,,,,,,
