06:00  -  06:14,83,,123,,206,
06:15  -  06:29,126,,172,,298,
06:30  -  06:44,139,,98,,237,
06:45  -  06:59,146,,91,,237,
07:00  -  07:14,365,,130,,495,
07:15  -  07:29,461,,180,,641,
07:30  -  07:44,560,,206,,766,
07:45  -  07:59,356,,220,,576,
08:00  -  08:14,404,,237,,641,
08:15  -  08:29,409,,256,,665,
08:30  -  08:44,689,4329,230,2223,919,6552
08:45  -  08:59,591,,280,,871,
09:00  -  09:14,545,,158,,703,
09:15  -  09:29,495,,171,,666,
09:30  -  09:44,442,4195,126,2705,568,6900
09:45  -  09:59,132,,96,,228,
10:00  -  10:29,246,,138,,384,
10:30  -  10:59,264,,135,,399,
11:00  -  11:29,237,,131,,368,
11:30  -  11:59,245,,137,,382,
12:00  -  12:29,278,,123,,401,
12:30  -  12:59,210,,191,,401,
13:00  -  13:29,237,,214,,451,
13:30  -  13:59,232,,279,,511,
14:00  -  14:29,289,,314,,603,
14:30  -  14:59,343,,492,,835,
15:00  -  15:14,139,,227,,366,
15:15  -  15:29,201,,290,,491,
15:30  -  15:44,314,,331,,645,
15:45  -  15:59,218,,351,,569,
16:00  -  16:14,277,,342,,619,
16:15  -  16:29,325,,332,,657,
16:30  -  16:44,283,,375,,658,
16:45  -  16:59,289,,393,,682,
17:00  -  17:14,377,,455,,832,
17:15  -  17:29,357,,473,,830,
17:30  -  17:44,258,,481,,739,
17:45  -  17:59,342,,469,,811,
18:00  -  18:14,313,,478,,791,
18:15  -  18:29,276,4371,447,6270,723,10641
18:30  -  18:44,216,,427,,643,
18:45  -  18:59,186,,399,,585,
19:00  -  19:29,206,934,385,1809,591,2743
19:30  -  19:59,174,,342,,516,
20:00  -  20:29,141,,311,,452,
20:30  -  20:59,134,,284,,418,
21:00  -  21:29,138,,249,,387,
21:30  -  21:59,141,,238,,379,
22:00  -  22:29,123,506,212,1113,335,1619
22:30  -  22:59,96,,261,,357,
23:00  -  23:29,90,,186,,276,
23:30  -  23:59,86,,153,,239,
24:00  -  24:29,51,,120,,171,
24:30  -  24:59,36,,105,,141,
25:00  -  25:29,24,,76,,100,
,,,,,,
