06:00  -  06:14,12,,8,,20,
06:15  -  06:29,80,,67,,147,
06:30  -  06:44,85,,81,,166,
06:45  -  06:59,83,,100,,183,
07:00  -  07:14,152,,60,,212,
07:15  -  07:29,172,,105,,277,
07:30  -  07:44,156,,110,,266,
07:45  -  07:59,214,,114,,328,
08:00  -  08:14,184,,110,,294,
08:15  -  08:29,162,1513,90,1079,252,2592
08:30  -  08:44,97,,146,,243,
08:45  -  08:59,116,,88,,204,
09:00  -  09:14,111,2691,141,3281,252,5972
09:15  -  09:29,141,,124,,265,
09:30  -  09:44,99,,107,,206,
09:45  -  09:59,108,,94,,202,
10:00  -  10:29,153,,170,,323,
10:30  -  10:59,192,,190,,382,
11:00  -  11:29,223,,208,,431,
11:30  -  11:59,232,,281,,513,
12:00  -  12:29,238,,370,,608,
12:30  -  12:59,240,,338,,578,
13:00  -  13:29,236,,331,,567,
13:30  -  13:59,242,,281,,523,
14:00  -  14:29,236,,240,,476,
14:30  -  14:59,240,,406,,646,
15:00  -  15:14,131,,231,,362,
15:15  -  15:29,161,,276,,437,
15:30  -  15:44,205,,373,,578,
15:45  -  15:59,213,,338,,551,
16:00  -  16:14,236,,308,,544,
16:15  -  16:29,250,,368,,618,
16:30  -  16:44,235,,426,,661,
16:45  -  16:59,206,,397,,603,
17:00  -  17:14,285,,353,,638,
17:15  -  17:29,278,3708,316,5343,594,9051
17:30  -  17:44,275,,436,,711,
17:45  -  17:59,285,,412,,697,
18:00  -  18:14,282,,243,,525,
18:15  -  18:29,258,,280,,538,
18:30  -  18:44,213,,343,,556,
18:45  -  18:59,195,,243,,438,
19:00  -  19:29,353,1886,313,1075,666,2961
19:30  -  19:59,309,,231,,540,
20:00  -  20:29,307,,153,,460,
20:30  -  20:59,292,,152,,444,
21:00  -  21:29,306,,118,,424,
21:30  -  21:59,319,,108,,427,
22:00  -  22:29,122,439,117,537,239,976
22:30  -  22:59,73,,212,,285,
23:00  -  23:29,67,,88,,155,
23:30  -  23:59,63,,47,,110,
24:00  -  24:29,47,,31,,78,
24:30  -  24:59,35,,24,,59,
25:00  -  25:29,32,,18,,50,
,,,,,,
